"gene","module","kME"
"SDE2",1,NA
"TRIM16",2,NA
"5031410I06RIK",2,NA
"MYCN",4,NA
"NLRP5-PS",3,NA
"OASL2",2,NA
"TRIM30A",2,NA
"CD84",2,NA
"DNAJC25",1,NA
"PPARG",1,NA
"SHMT2",1,NA
"LRTM1",6,NA
"TRIM47",2,NA
"SCGB3A1",2,NA
"MS4A6B",2,NA
"SLC22A6",3,NA
"PBX3",13,NA
"FXYD5",2,NA
"ZFP574",4,NA
"BCL3",2,NA
"IGSF6",3,NA
"PAPPA2",3,NA
"GM10558",4,NA
"HK2",2,NA
"BCL6B",2,NA
"DACT1",4,NA
"KLF11",4,NA
"LRG1",2,NA
"SP8",13,NA
"BTG3",1,NA
"JUNB",12,NA
"STAT3",2,NA
"FGF5",4,NA
"SOX4",4,NA
"DRD1A",11,NA
"OTOF",3,NA
"UPP1",2,NA
"CD9",2,NA
"CENPA",1,NA
"PEG10",1,NA
"GM22179",5,NA
"CLDN1",9,NA
"COL8A1",9,NA
"GM23751",5,NA
"PECAM1",2,NA
"CD52",2,NA
"BTG2",4,NA
"LYVE1",2,NA
"ARSJ",1,NA
"DNAJA4",1,NA
"GGTA1",2,NA
"ATP8B1",2,NA
"PARD6B",1,NA
"DLL1",4,NA
"TMED8",1,NA
"TRPV4",3,NA
"MRPS6",1,NA
"MYL9",3,NA
"BST2",2,NA
"VMN1R55",1,NA
"CD36",2,NA
"CTLA2B",2,NA
"GAS2L3",4,NA
"DNAH12",2,NA
"MMRN2",2,NA
"DDIT3",1,NA
"BBC3",1,NA
"WWTR1",2,NA
"LAMA1",9,NA
"CDT1",4,NA
"RAC2",1,NA
"DCAF10",1,NA
"INHBB",4,NA
"CBFA2T3",1,NA
"P2RY2",2,NA
"PLK5",3,NA
"FAM19A1",1,NA
"GM10115",6,NA
"ASB4",9,NA
"HAP1",8,NA
"GM13339",2,NA
"PSRC1",4,NA
"DNAH10",1,NA
"VMN2R-PS54",4,NA
"ZFP52",4,NA
"ZBTB42",4,NA
"CLEC4D",2,NA
"DUSP10",2,NA
"SLC16A4",7,NA
"GM13340",5,NA
"CERS3",1,NA
"CD74",3,NA
"JADE3",1,NA
"CD24A",4,NA
"ZFAND2A",1,NA
"RAD54L",4,NA
"NAB2",4,NA
"TSC22D3",2,NA
"MT1",1,NA
"APBB1IP",2,NA
"HPX",1,NA
"GM26205",5,NA
"SCARA5",2,NA
"IL13RA1",2,NA
"FERMT3",2,NA
"HS3ST4",3,NA
"TRF",2,NA
"DSP",9,NA
"FGR",2,NA
"TNFSF8",1,NA
"NUAK1",1,NA
"BAMBI",12,NA
"ARNTL",1,NA
"RPPH1",7,NA
"RCOR1",1,NA
"VMN1R56",1,NA
"GM13889",4,NA
"PDPN",2,NA
"LYPD1",3,NA
"KIF24",1,NA
"AVPR1A",2,NA
"SPTY2D1",1,NA
"SERPING1",2,NA
"TMC4",1,NA
"SLAMF9",1,NA
"NPY2R",8,NA
"TRIM17",4,NA
"CTGF",11,NA
"NDN",3,NA
"KIF2C",1,NA
"TLR4",2,NA
"AI607873",2,NA
"FKBP5",9,NA
"TXNIP",4,NA
"CCNL1",4,NA
"LTBP2",2,NA
"BC018473",1,NA
"CYB5R1",1,NA
"ALDH1L2",1,NA
"ZBTB1",4,NA
"NCF4",2,NA
"DENND3",4,NA
"DEDD2",1,NA
"ABCA9",2,NA
"ABCA4",9,NA
"ADAMTS19",13,NA
"PRKAB2",1,NA
"PRRG4",1,NA
"MT-TP",4,NA
"DMKN",1,NA
"GM694",2,NA
"RND3",4,NA
"ACVRL1",2,NA
"KIF23",4,NA
"KCNE2",3,NA
"P2RY6",2,NA
"DIO3",3,NA
"VMN2R1",1,NA
"1700064H15RIK",4,NA
"ALKBH1",3,NA
"CD28",1,NA
"ELOVL1",2,NA
"SPAG5",1,NA
"GM20491",6,NA
"LAT2",2,NA
"PODXL",2,NA
"BC005561",3,NA
"FAM187A",1,NA
"CCKBR",1,NA
"GALNT6",2,NA
"HMCN2",1,NA
"LCP2",2,NA
"CD274",2,NA
"NOD2",2,NA
"CAMKK2",3,NA
"KIF26A",4,NA
"CCNB1",4,NA
"PROKR2",4,NA
"TWISTNB",1,NA
"SLC35D3",11,NA
"ELF4",2,NA
"TACR1",11,NA
"GM9989",2,NA
"N6AMT2",4,NA
"HBB-BT",1,NA
"CHORDC1",1,NA
"CBLN4",3,NA
"NLRP2",1,NA
"NREP",1,NA
"KCTD15",1,NA
"PLCE1",2,NA
"RMRP",5,NA
"TMEM173",2,NA
"IRF8",2,NA
"STEAP3",2,NA
"GM6483",1,NA
"CLDN5",1,NA
"SPI1",2,NA
"DACH1",11,NA
"SAMD3",4,NA
"DSE",1,NA
"MYL4",3,NA
"UHRF1",2,NA
"PTGDS",9,NA
"SLC19A2",1,NA
"FLNA",2,NA
"GM15342",4,NA
"GM1979",2,NA
"PSPH",1,NA
"4933423P22RIK",7,NA
"PTPRO",8,NA
"DDX21",1,NA
"CXX1C",3,NA
"SLC10A4",11,NA
"FZD2",3,NA
"GM15319",1,NA
"RAB20",2,NA
"SSFA2",4,NA
"ARHGAP11A",3,NA
"SLFN8",3,NA
"AEBP1",4,NA
"DDX39",1,NA
"CCDC184",4,NA
"GMEB2",1,NA
"REM2",6,NA
"CCL17",1,NA
"PLK3",4,NA
"ZIM1",3,NA
"4930578C19RIK",2,NA
"IFIT1",2,NA
"PDP1",1,NA
"LIPG",4,NA
"HCLS1",2,NA
"TAS2R135",4,NA
"ALDH18A1",1,NA
"SLC13A4",3,NA
"SIGLEC1",2,NA
"UTP14B",4,NA
"JAG1",2,NA
"LOX",2,NA
"PPP1R15B",1,NA
"GDF5",4,NA
"SNORA30",5,NA
"AHNAK",2,NA
"PPAN",4,NA
"LGR5",13,NA
"LBP",3,NA
"EHD2",2,NA
"FCRLS",2,NA
"CHD7",2,NA
"COQ10B",1,NA
"COL10A1",4,NA
"4921534H16RIK",7,NA
"GM7452",7,NA
"CYP3A57",1,NA
"MYO15",2,NA
"PGR15L",4,NA
"EFNB1",4,NA
"MOB1A",1,NA
"ITIH3",8,NA
"S1PR2",4,NA
"JMJD6",1,NA
"B3GNT7",4,NA
"OPALIN",1,NA
"PTPN1",1,NA
"GM2639",6,NA
"TRAM2",2,NA
"CSRNP2",1,NA
"BTBD17",1,NA
"ZCCHC12",8,NA
"RPRM",3,NA
"GM16185",7,NA
"UBOX5",1,NA
"NID1",2,NA
"GM14636",10,NA
"HSP90AA1",1,NA
"STX1A",3,NA
"MAPKAPK2",4,NA
"CCND2",1,NA
"EFNA1",4,NA
"FYB",2,NA
"AMMECR1L",1,NA
"BEND4",1,NA
"RARG",4,NA
"DLL4",4,NA
"ZFP143",1,NA
"PISD-PS1",2,NA
"NEDD9",4,NA
"DENND2C",4,NA
"SLC25A13",0,NA
"KRT18",9,NA
"TPM4",2,NA
"9330020H09RIK",1,NA
"PTRF",1,NA
"XKR7",4,NA
"SIAH2",4,NA
"MX2",1,NA
"LDLR",1,NA
"SPEER4A",2,NA
"MFSD2B",7,NA
"DSC3",2,NA
"PIRB",2,NA
"C1QL2",8,NA
"BACH2",4,NA
"DIRAS2",2,NA
"KCNJ2",4,NA
"GLI1",2,NA
"ROBO4",2,NA
"HTR2C",11,NA
"KLF6",4,NA
"GLCE",1,NA
"CASR",8,NA
"GBP6",2,NA
"ZIC1",8,NA
"MYH7",3,NA
"RASL10A",3,NA
"SLC22A8",4,NA
"SEC14L5",2,NA
"CALCRL",3,NA
"2310058D17RIK",4,NA
"LYN",2,NA
"GM13833",7,NA
"FAM228A",6,NA
"IL1A",2,NA
"SLC16A10",4,NA
"RNU3A",5,NA
"ANXA4",2,NA
"PDE4C",4,NA
"GM16041",3,NA
"CX3CR1",12,NA
"KLHL13",11,NA
"AEN",1,NA
"GM13493",5,NA
"ZC3HAV1",2,NA
"ZFP110",1,NA
"TRIM72",2,NA
"KLF8",4,NA
"SLC7A10",1,NA
"APOBEC3",2,NA
"ZFP623",1,NA
"ITGAM",6,NA
"1700123L14RIK",6,NA
"1810011O10RIK",1,NA
"SHE",2,NA
"2310014L17RIK",4,NA
"ATAD2",1,NA
"IGFBP3",2,NA
"STAG3",1,NA
"1110008P14RIK",3,NA
"MEGF6",8,NA
"CCDC158",1,NA
"TUFT1",4,NA
"ARMC7",1,NA
"PDK4",4,NA
"KCNA5",13,NA
"SCN4B",11,NA
"GM5862",2,NA
"FIBCD1",3,NA
"RPL12",1,NA
"RXFP1",1,NA
"PCP4",3,NA
"GM22488",5,NA
"B630005N14RIK",1,NA
"NOTCH1",2,NA
"SULT1A1",6,NA
"STMN3",3,NA
"FLT4",2,NA
"COL7A1",2,NA
"FES",2,NA
"ANKRD63",3,NA
"GJC2",1,NA
"HIST1H4H",3,NA
"GM12346",1,NA
"CADPS2",2,NA
"PKN3",2,NA
"ALPK3",1,NA
"RHOF",1,NA
"PIM3",4,NA
"GPR3",12,NA
"ATXN1L",1,NA
"MT-ND4",3,NA
"MMP14",2,NA
"ERICH6",3,NA
"MYO1F",2,NA
"SLC7A1",1,NA
"VIPR1",1,NA
"MOB1B",1,NA
"ITPKA",3,NA
"GM11870",2,NA
"WDR86",9,NA
"RUNX1",2,NA
"GRM4",3,NA
"BLNK",1,NA
"GM11611",7,NA
"SLC37A2",3,NA
"PHYKPL",4,NA
"2810459M11RIK",4,NA
"MYOF",2,NA
"TRAF6",1,NA
"MYH3",1,NA
"SPRY1",4,NA
"PEAR1",3,NA
"BEND3",1,NA
"RBM24",1,NA
"KIF21B",4,NA
"SLC8B1",2,NA
"ARRDC2",3,NA
"CHIL3",2,NA
"SLC16A1",4,NA
"NEU4",3,NA
"NDRG1",3,NA
"SNORA23",5,NA
"SLC2A4RG-PS",10,NA
"GM10710",8,NA
"SMAD1",1,NA
"CACNG5",13,NA
"KLHL6",2,NA
"CDON",1,NA
"TPPP3",3,NA
"GM12940",10,NA
"RGS14",3,NA
"GM15606",6,NA
"TRIM43C",1,NA
"SNX30",1,NA
"MYRF",2,NA
"GM13050",5,NA
"USP53",1,NA
"ADAMTS15",12,NA
"RFX2",4,NA
"NAA50",1,NA
"CXCL12",1,NA
"IRGM1",4,NA
"CDSN",3,NA
"HSPA9",1,NA
"TNFAIP3",2,NA
"PXDC1",2,NA
"FAM115E",1,NA
"CXCR4",4,NA
"N4BP2",1,NA
"GM20642",7,NA
"CAR12",9,NA
"GPR183",2,NA
"GPRC5C",6,NA
"FAM111A",2,NA
"PKP2",1,NA
"RELB",4,NA
"PTGIR",2,NA
"CPEB4",1,NA
"MUC5B",4,NA
"ERLIN1",1,NA
"MTHFR",1,NA
"SSTR2",6,NA
"GM340",1,NA
"NGB",3,NA
"C730034F03RIK",1,NA
"1810041L15RIK",4,NA
"BAIAP2L1",7,NA
"CTSZ",2,NA
"DDIT4",6,NA
"C2CD4C",3,NA
"KCTD18",1,NA
"AOX3",1,NA
"CD300LF",3,NA
"LONRF3",1,NA
"PSD4",2,NA
"ABCB1B",2,NA
"LGR6",4,NA
"LPIN3",4,NA
"LUM",2,NA
"GTPBP4",1,NA
"GM26448",5,NA
"KIRREL2",3,NA
"SNORA74A",5,NA
"2410016O06RIK",4,NA
"SPINT1",2,NA
"HS6ST3",1,NA
"GM24336",5,NA
"GM21975",2,NA
"KDELR3",7,NA
"EDN3",4,NA
"CRYBB1",1,NA
"TUBB3",3,NA
"GPR153",3,NA
"AI480526",10,NA
"FAM129B",4,NA
"CEBPA",4,NA
"MT-ND3",3,NA
"ATP2C2",10,NA
"EIF2S2",1,NA
"ELOVL7",3,NA
"ID3",2,NA
"TMCC3",4,NA
"GM26387",5,NA
"SERPINB2",1,NA
"ASAP3",2,NA
"F2RL3",4,NA
"STEAP1",9,NA
"SAT1",2,NA
"ETS1",2,NA
"GM14540",6,NA
"IGSF9",4,NA
"TLN1",2,NA
"MCM3",2,NA
"GM14372",7,NA
"METTL7A1",4,NA
"GM13157",1,NA
"RPL3-PS2",5,NA
