source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Oligodendrocyte,Endothelial,CXCL2,XCR1,1.0,1.0,0.0
Microglia,Pericyte,CXCL2,XCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,TIMP1,CD63,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL2,XCR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL8,ACKR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL2,ACKR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL2,CCR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL2,CXCR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL2,CXCR2,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL2,CCR2,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL2,CCR3,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL2,CCR5,1.0,1.0,0.0
Endothelial,Microglia,TIMP1,CD63,1.0,1.0,0.0
Microglia,Microglia,CSF2,CSF1R,1.0,1.0,0.0
Microglia,Microglia,CXCL1,ACKR1,1.0,1.0,0.0
Microglia,Microglia,CXCL1,CXCR1,1.0,1.0,0.0
Microglia,Microglia,CXCL1,CXCR2,1.0,1.0,0.0
Microglia,Microglia,CXCL10,ACKR1,1.0,1.0,0.0
Microglia,Microglia,CXCL10,CCR3,1.0,1.0,0.0
Microglia,Microglia,CXCL2,ACKR1,1.0,1.0,0.0
Microglia,Microglia,CXCL2,CXCR2,1.0,1.0,0.0
Microglia,Microglia,CXCL2,XCR1,1.0,1.0,0.0
Microglia,Microglia,CXCL2,CXCR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL2,ACKR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL10,CCR3,1.0,1.0,0.0
Microglia,Endothelial,TIMP1,CD63,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL8,CCR2,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL8,CCR3,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL8,CCR5,1.0,1.0,0.0
Microglia,Oligodendrocyte,CCL8,CCR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CSF2,CSF1R,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL1,ACKR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL1,CXCR1,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL1,CXCR2,1.0,1.0,0.0
Microglia,Oligodendrocyte,CXCL10,ACKR1,1.0,1.0,0.0
