,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
CCNB2,0.003191065017949741,0.007478872186074342,0.06683168316831677,0.01026392961876833,0.00450007031359865,0.00656994251300301,0.007380073800738007,0.0009606147934678194,0.0035440047253396337,0.0031104199066874024
RNF111,0.03683020874883664,0.04143295191085212,0.04915134370579901,0.06422287390029287,0.05948530445788237,0.06720503695592647,0.08118081180811813,0.05187319884726219,0.05197873597164802,0.042379471228615906
SLTM,0.1479191596862047,0.1737342008825012,0.16230551626591275,0.20219941348973963,0.11826747292926498,0.219682452778536,0.3819188191881911,0.2881844380403454,0.17601890135853435,0.18312597200621986
FAM63B,0.20994548597259743,0.19332884601001382,0.15417256011315433,0.12976539589442956,0.14315848685135762,0.1201751984670148,0.23062730627306297,0.1815561959654176,0.2020082693443579,0.13569206842923742
GM10642,0.006847493684350494,0.005833520305137984,0.007072135785007073,0.00762463343108505,0.0067501054703979725,0.005474952094169173,0.007380073800738007,0.008645533141210374,0.002362669816893089,0.0042768273716951785
ADAM10,0.24857066879402695,0.26198489267816666,0.15876944837340912,0.20381231671554623,0.2697229644213202,0.2842868874897287,0.26014760147601496,0.2353506243996154,0.1447135262847015,0.1364696734059092
LIPC,0.0005318441696582901,0.0020192954902400716,0.0003536067892503536,0.0016129032258064516,0.0011250175783996624,0.000684369011771147,0.0,0.0,0.0,0.00038880248833592535
AQP9,0.0007312857332801489,0.0021688729339615588,0.027934936350777886,0.04340175953079157,0.0002812543945999156,0.0020531070353134403,0.0,0.002881844380403458,0.0011813349084465446,0.0011664074650077762
ALDH1A2,0.00019944156362185878,0.0014957744372148679,0.0021216407355021216,0.011730205278592382,0.000703135986499789,0.003011223651793047,0.0,0.0009606147934678194,0.034258712344949815,0.055987558320373276
POLR2M,0.3488897752958126,0.3977264228553983,0.6036067892503497,0.41275659824046373,0.13415834622416029,0.21530249110320035,0.24723247232472356,0.29779058597502356,0.5475487300649691,0.42457231726283456
MYZAP,0.006315649514692203,0.008675491735846235,0.0049504950495049506,0.0017595307917888563,0.000703135986499789,0.000684369011771147,0.0018450184501845018,0.0009606147934678194,0.018310691080921454,0.010497667185069986
CGNL1,0.31106235872887034,0.39107022660979446,0.08875530410183845,0.0777126099706745,0.029109829841091343,0.04160963591568573,0.07564575645756463,0.05571565802113346,0.12285883047844079,0.13569206842923753
TCF12,0.18601249833797598,0.19639518360630304,0.13719943422913702,0.13328445747800757,0.08479819997187489,0.11771147002463836,0.2952029520295201,0.2660902977905856,0.17542823390431117,0.17612752721617314
GM27253,0.0014625714665602984,0.0023932390995437896,0.0021216407355021216,0.0033724340175953094,0.0030937983405990733,0.004106214070626882,0.0036900369003690036,0.002881844380403458,0.0035440047253396337,0.0019440124416796266
ZFP280D,0.06195984576519089,0.06289731508488565,0.06117397454031097,0.055131964809383795,0.04964140064688528,0.05954010402408955,0.13468634686346878,0.11431316042267034,0.07442409923213239,0.07465007776049772
BC065403,0.0007977662544874351,0.00044873233116446036,0.0,0.0007331378299120235,0.0,0.0005474952094169176,0.0,0.0019212295869356388,0.0005906674542232723,0.0011664074650077762
MNS1,0.002991623454327885,0.005085633086530552,0.11032531824610996,0.043841642228738806,0.004218815918998736,0.007254311524774152,0.01107011070110701,0.02401536983669547,0.004725339633786178,0.00933125972006221
TEX9,0.012165935380933404,0.012788871438187155,0.04985855728429971,0.04002932551319627,0.008437631837997468,0.012729263618943316,0.018450184501845015,0.027857829010566743,0.021264028352037816,0.019828926905132195
4930509E16RIK,0.0008642467756947214,0.0006730984967466906,0.0,0.0002932551319648094,0.0,0.0001368738023542294,0.0,0.0,0.0005906674542232723,0.00038880248833592535
RFX7,0.027323494216194694,0.026549996260564056,0.05410183875530393,0.036656891495600995,0.03107861060329077,0.027648508075554433,0.08302583025830264,0.0470701248799231,0.040756054341405834,0.02760497667185068
GM27241,6.648052120728626e-05,0.0,0.0,0.0,0.0001406271972999578,0.0001368738023542294,0.0,0.0009606147934678194,0.0,0.0
GM27232,0.0,7.47887218607434e-05,0.0,0.0001466275659824047,0.0,0.0001368738023542294,0.0,0.0,0.0,0.0
NEDD4,0.2621991756415192,0.29190038142246066,0.4236209335219235,0.28914956011730364,0.03543805371958947,0.060908842047631834,0.4095940959409585,0.3967339097022088,0.6331955109273458,0.5299377916018723
