,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
CNOT11,0.09934111,0.08376964,0.079283506,0.07470459,0.083659805,0.08057468,0.107816964,0.07372005,0.08719473,0.07449853
RNF149,0.12887307,0.1267945,0.15395263,0.37833458,0.30742052,0.42988107,0.15853256,0.120565504,0.09246054,0.11564212
CREG2,0.00024145923,0.0016334008,0.007262988,0.0106444685,0.0011263128,0.012080225,0.027972996,0.015280224,0.001750933,0.0
D930019O06RIK,0.0,0.0,0.0004775679,0.00061229,0.0,0.0006131736,0.0,0.0010651771,0.0007031186,0.0
RFX8,0.0002593497,0.00051978143,0.0009973116,0.00042193144,0.00041759462,0.00045236084,0.0,0.0,0.0007475417,0.0
GM3646,0.00045543798,0.00014602146,0.0011012163,0.0004871388,0.0008732247,0.0003683947,0.0029865387,0.0,0.09480921,0.031415787
MAP4K4,0.1651601,0.19606236,0.18875243,0.1944216,0.21094677,0.16636422,0.5173406,0.3324363,0.2085883,0.22943649
IL1R2,0.003742958,0.036583703,0.06970242,0.38602665,0.0028170582,0.08438911,0.007179483,0.050605133,0.0016555218,0.036382448
GM16894,0.00017546111,0.000772117,0.0033118732,0.004148286,0.002265663,0.0037693568,0.02865166,0.009058249,0.002888774,0.001215494
IL1R1,0.056280117,0.10561359,0.01305615,0.026993396,0.0068823905,0.013254259,0.00803243,0.01766542,0.072661646,0.1313467
IL1RL2,0.0029445435,0.002735094,0.0043464922,0.009221707,0.03615292,0.021381678,0.0036743465,0.001857716,0.009536823,0.009114959
IL1RL1,0.0016227879,0.0022175505,0.0076070535,0.0046447776,0.011002558,0.010425699,0.0,0.0008442065,0.0016706262,0.0006912252
IL18R1,0.0013788979,0.006016002,0.0012581747,0.0021165626,0.0,0.0007339051,0.0,0.0016729083,0.0,0.0006942211
IL18RAP,0.001605145,0.009344868,0.011787631,0.017454902,0.0015210843,0.012225587,0.0028476224,0.0062712505,0.00084507477,0.0014883593
SLC9A4,0.0013313934,0.00049137144,0.0,0.0011588688,0.0005019683,0.0003069784,0.0,0.0,0.0,0.0
SLC9A2,0.02833487,0.027715065,0.008308822,0.0053246627,0.003740402,0.0025761924,0.0036093588,0.005751766,0.0128912935,0.01069828
GM37915,0.00016386999,0.00043828198,0.00036512938,0.00039954262,0.0,0.00020587411,0.0,0.0,0.0,0.0
MFSD9,0.015329306,0.014553022,0.009066759,0.006353475,0.010318616,0.012150295,0.0099978,0.010085558,0.005885073,0.0084225135
TMEM182,0.00061159855,0.00019635104,0.0012264963,0.00017578987,0.00018915469,0.0,0.0019649067,0.0009203447,0.008435192,0.006823197
GM29260,0.0,5.0489783e-05,0.00044128796,0.0005326784,0.0,0.0,0.0,0.0,0.0,0.0
GM9915,0.0,9.4203155e-05,0.00042594763,0.00027959645,0.00024306348,0.00013666255,0.0,0.0,0.0010637834,0.0
PANTR1,0.037719,0.05168498,0.7299577,0.43363413,0.036034424,0.038340293,0.7083496,0.56385887,0.025743088,0.04523683
POU3F3,0.008476248,0.017002417,0.2185063,0.13855173,0.0058140554,0.012229456,0.17288618,0.1524567,0.0064791515,0.0116672935
