isp_index,cell_type,condition,glutathione_metabolism,fatty_acid_elongation,iron_metabolism
-0.9271290428452804,Microglia,Sham,0.355421686746988,-0.04435483870967742,-0.0040000000000000036
-0.8830497791705041,Endothelial,Sham,0.08835341365461846,-0.028225806451612902,0.5800000000000001
-1.1035966242494624,Oligodendrocyte,Sham,-1.1465863453815262,-0.11693548387096774,32.26
-0.6532211891844789,Endothelial,Sham,-0.19076305220883535,0.12231182795698924,1.868
-0.27784334880036754,Microglia,Sham,-0.37751004016064255,-0.08064516129032258,2.088
-0.2309476885315429,Pericyte,Sham,-0.6285140562248996,-0.11290322580645161,4.619999999999999
-0.6494748503188109,Endothelial,Sham,0.12048192771084335,-0.04032258064516129,0.9079999999999999
-0.36132559501263256,Pericyte,Sham,0.042168674698795205,-0.0967741935483871,3.996
-0.71345487860625,Microglia,Sham,0.016064257028112428,-0.04032258064516129,2.2720000000000002
-0.28681470712131085,Endothelial,Sham,0.3333333333333333,-0.04838709677419355,3.344
-0.59200441793271,Endothelial,Sham,0.5401606425702812,-0.036290322580645164,1.0919999999999999
-0.8197339953627933,Endothelial,Sham,0.40963855421686746,-0.04032258064516129,1.048
-0.7429473335061907,Endothelial,Sham,-0.12248995983935743,-0.06451612903225806,1.0679999999999998
-0.7699422291623527,Microglia,Sham,-0.3453815261044177,-0.020161290322580645,1.6280000000000001
-0.5839272050592127,Endothelial,Sham,-0.2550200803212852,-0.06048387096774194,2.124
-0.05917406607377959,Endothelial,Sham,0.10240963855421686,-0.04435483870967742,5.247999999999999
-0.9100446748266661,Pericyte,Sham,-0.09839357429718879,-0.07258064516129033,0.14800000000000002
-0.1694652194878825,Endothelial,Sham,-0.27108433734939763,-0.10080645161290322,3.5120000000000005
-0.8901439102140034,Microglia,Sham,-0.11847389558232932,-0.05241935483870968,0.31999999999999995
-0.7690919962283004,Endothelial,Sham,-0.25100401606425704,-0.07661290322580645,1.052
-0.43646493055950863,Endothelial,Sham,0.23895582329317266,-0.03225806451612903,2.9560000000000004
-0.45394784526596005,Endothelial,Sham,0.3293172690763052,-0.08870967741935484,1.6480000000000001
-1.0328767640180412,Microglia,Sham,-0.27309236947791166,-0.012096774193548387,0.616
-0.2304162929477602,Pericyte,Sham,-0.33534136546184745,-0.0967741935483871,4.56
-0.2490682779385336,Endothelial,Sham,0.014056224899598402,-0.06854838709677419,4.119999999999999
-0.013513074179936243,Microglia,Sham,-0.09839357429718876,-0.0967741935483871,7.692
-0.5707220248022121,Endothelial,Sham,0.04819277108433734,0.13440860215053763,1.3800000000000001
-1.0092282643059731,Oligodendrocyte,Sham,1.034136546184739,-0.22983870967741934,20.900000000000002
-0.8936245512877802,Endothelial,Sham,0.24698795180722893,-0.03225806451612903,1.0639999999999998
-0.9116920011363925,Microglia,Sham,0.01204819277108432,-0.06048387096774194,1.3760000000000001
7.491691481686739,GABAergic,Sham,0.7449799196787149,-0.016129032258064516,3.772
-0.9901916541418333,Astrocyte,Sham,0.2771084337349397,0.41935483870967744,2.42
-0.5899611825311442,Endothelial,Sham,-0.20281124497991967,-0.04032258064516129,1.8440000000000003
-0.8287742350039626,Microglia,Sham,0.04819277108433734,-0.05241935483870968,1.5
-0.8168378894311775,Endothelial,Sham,0.10843373493975902,-0.036290322580645164,0.19200000000000003
-0.592405255162774,Pericyte,Sham,0.022088353413654616,0.260752688172043,2.576
