source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Oligodendrocyte,Endothelial,CXCL2,ACKR1,0.20693222533890626,1.0,-0.7930677746610937
Endothelial,GABAergic,CCL2,CCR1,0.20994021568278487,1.0,-0.7900597843172151
Microglia,Pericyte,CXCL10,SDC4,0.2114512180067226,1.0,-0.7885487819932774
Endothelial,Microglia,CCL2,CCR5,0.2122084627165844,1.0,-0.7877915372834157
GABAergic,Oligodendrocyte,FN1,C5AR1,0.21296686837320516,1.0,-0.7870331316267949
Microglia,Endothelial,TNF,VSIR,0.21372643391270751,1.0,-0.7862735660872925
Oligodendrocyte,Endothelial,CCL7,ACKR1,0.2144871215783575,1.0,-0.7855128784216425
Astrocyte,Microglia,CCL2,CCR1,0.21524900363621574,1.0,-0.7847509963637842
Oligodendrocyte,Astrocyte,PTN,PTPRB,0.21601204238537486,1.0,-0.7839879576146251
Endothelial,Microglia,LGALS3,LAG3,0.21601204238537486,1.0,-0.7839879576146251
GABAergic,Endothelial,TNF,FAS,0.21754158570208604,1.0,-0.782458414297914
Pericyte,Endothelial,CXCL2,ACKR1,0.21907570599073695,1.0,-0.7809242940092631
Microglia,Microglia,LGALS3,ENG,0.21984451218277257,1.0,-0.7801554878172274
Astrocyte,Endothelial,CXCL2,ACKR1,0.21984451218277257,1.0,-0.7801554878172274
GABAergic,Microglia,PTN,SDC4,0.2206144686828963,1.0,-0.7793855313171036
Astrocyte,Microglia,TNF,VSIR,0.22138557442723072,1.0,-0.7786144255727693
Pericyte,GABAergic,CCL7,CCR1,0.22138557442723072,1.0,-0.7786144255727693
Microglia,GABAergic,LGALS3,ENG,0.22370573912795644,1.0,-0.7762942608720436
Endothelial,Oligodendrocyte,CXCL12,SDC4,0.22603624592043792,1.0,-0.7739637540795621
Endothelial,GABAergic,CCL2,CCR2,0.22603624592043792,1.0,-0.7739637540795621
Pericyte,Microglia,CCL7,CCR5,0.2268153665306762,1.0,-0.7731846334693238
