,ferroptosis_score,senescence_score,mg_activation,consensus_senescence,isp_index,condition
GSM5319987_sham1_1-176-0,0.6593660576711424,1.2101736972704715,4.386666666666667,-0.02510933494193937,-0.6273375731366166,Sham
GSM5319987_sham1_1-177-0,1.072804314329738,1.1163275434243176,7.011111111111111,0.23480621324083847,-0.1845242824382654,Sham
GSM5319987_sham1_1-178-0,0.5617433414043583,1.8276923076923077,4.1466666666666665,0.030010556477152756,-0.7318964414580429,Sham
GSM5319987_sham1_1-181-0,0.49774378164208666,0.2086848635235732,3.9222222222222225,0.15427537324687074,-1.3466262899612966,Sham
GSM5319987_sham1_1-182-0,0.4029275808936826,0.6188089330024814,3.008888888888889,-0.047654954003920974,-0.901996156213193,Sham
GSM5319987_sham1_1-192-0,0.07071318511996479,0.41915632754342425,2.12,-0.013648016890363449,-1.2578145824005942,Sham
GSM5319987_sham1_1-194-0,0.37854941668500985,0.3100248138957816,5.762222222222222,-0.18051575931232092,-1.108414177944864,Sham
GSM5319987_sham1_1-198-0,0.5362645828747523,0.10431761786600496,2.684444444444445,-0.030462976926557084,-1.5919544347069172,Sham
GSM5319987_sham1_1-199-0,0.31454985692273824,0.12729528535980147,2.5044444444444447,0.03468556778766399,-1.537942579729636,Sham
GSM5319987_sham1_1-206-0,0.23233546114902048,0.3315632754342432,4.971111111111111,-0.16332378223495703,-1.0847089475302285,Sham
GSM5319987_sham1_1-208-0,0.7534668721109399,0.7123076923076923,8.66,-0.25501432664756446,-0.5265508398617358,Sham
GSM5319987_sham1_1-214-0,0.7575390710983931,0.8967245657568239,4.46,-0.10352887950535364,-0.5221893087141678,Sham
GSM5319987_sham1_1-217-0,0.29297820823244547,0.3807444168734491,3.12,0.004976624943447444,-1.0197574971975276,Sham
GSM5319987_sham1_1-221-0,0.673233546114902,0.38382133995037215,3.473333333333333,-0.06771226059417886,-0.9349462981366198,Sham
GSM5319987_sham1_1-231-0,0.4558661677305745,0.17950372208436724,2.6955555555555555,-0.08452722063037249,-1.4152201792197012,Sham
GSM5319987_sham1_1-235-0,0.437376183138895,0.4575186104218363,3.7155555555555555,-0.08203890815864878,-0.8650999602891722,Sham
GSM5319987_sham1_1-237-0,0.299141536429672,0.6956327543424318,1.2977777777777777,-0.13753581661891118,-1.0131562608660734,Sham
GSM5319987_sham1_1-241-0,0.2089478318291878,0.5174193548387096,3.5733333333333333,-0.03657065299351531,-1.109758281823693,Sham
GSM5319987_sham1_1-242-0,1.3289676425269645,1.210074441687345,25.095555555555556,0.03182023827477001,0.08983960258779933,Sham
GSM5319987_sham1_1-243-0,0.1919986792868149,0.26089330024813895,2.4644444444444447,-0.04335695973458001,-1.2239038894513616,Sham
GSM5319987_sham1_1-246-0,0.4188861985472154,0.46665012406947887,3.773333333333333,-0.062358618609561156,-0.8849036692835348,Sham
GSM5319987_sham1_1-253-0,0.1079683028835571,0.6464516129032257,3.393333333333333,-0.017946011159704428,-1.2179124663613576,Sham
GSM5319987_sham1_1-259-0,0.33947831829187763,0.6295285359801488,1.8822222222222222,-0.01221535213391646,-0.9699535266611096,Sham
GSM5319987_sham1_1-260-0,0.4173453664979089,0.6494789081885857,3.6222222222222222,-0.05089730055798522,-0.8865539783663983,Sham
GSM5319987_sham1_1-263-0,0.4032027294739159,0.39300248138957816,4.984444444444445,-0.062358618609561156,-0.9133648874005569,Sham
GSM5319987_sham1_1-264-0,0.7197336561743342,0.3361786600496278,3.186666666666667,0.03468556778766399,-1.0469363214156475,Sham
GSM5319987_sham1_1-273-0,0.33485582214395776,0.5096774193548388,3.3577777777777778,-0.15863453815261044,-0.9749044539097004,Sham
