,sample,condition,leiden,cell_type,ferroptosis_score,senescence_score,consensus_senescence,isp_index,sene_senmayo,sene_cellage,sene_fridman,glutathione_metabolism,fatty_acid_elongation,iron_metabolism,isp_group,UMAP1,UMAP2
GSM5319988_sham2_1-387-1,GSM5319988_sham2,Sham,2,Microglia,0.6483050847457628,0.8261538461538461,0.05722891566265059,-0.6391844347671728,0.8261538461538461,0.05722891566265059,-0.039435982506409284,-0.2891566265060241,-0.036290322580645164,2.7840000000000003,Mid,6.941218,-3.1396115
GSM5319988_sham2_1-388-1,GSM5319988_sham2,Sham,4,Endothelial,0.5805084745762712,0.9014888337468983,-0.12893982808022922,-0.711798034413169,0.9014888337468983,-0.2289156626506024,-0.12893982808022922,0.008032128514056214,-0.024193548387096774,1.716,Mid,9.333116,3.4678047
GSM5319988_sham2_1-389-1,GSM5319988_sham2,Sham,2,Microglia,0.29143737618313886,0.5834739454094293,-0.14326647564469913,-1.021407806280391,0.5834739454094293,-0.21084337349397592,-0.14326647564469913,0.03614457831325302,-0.06451612903225806,0.688,Mid,8.932002,-4.9197297
GSM5319988_sham2_1-390-1,GSM5319988_sham2,Sham,0,Endothelial,0.2531917235307066,0.36074441687344916,0.19401296938621623,-1.0623708353014683,0.36074441687344916,-0.13554216867469882,0.19401296938621623,0.11847389558232929,-0.05241935483870968,0.06399999999999995,Mid,12.089632,8.704773
GSM5319988_sham2_1-391-1,GSM5319988_sham2,Sham,0,Endothelial,0.4982940788025534,0.19796526054590569,-0.09455587392550144,-1.371824045199078,0.19796526054590569,-0.1686746987951807,-0.09455587392550144,0.25100401606425704,-0.05241935483870968,0.824,Low,9.822748,7.9001203
GSM5319988_sham2_1-392-1,GSM5319988_sham2,Sham,14,Endothelial,0.8023332599603785,1.0395533498759306,-0.11823254411099382,-0.47421246609092044,1.0395533498759306,-0.320281124497992,-0.11823254411099382,0.04819277108433728,-0.10080645161290322,2.8,Mid,15.092736,5.8512897
GSM5319988_sham2_1-393-1,GSM5319988_sham2,Sham,4,Endothelial,0.5260290556900726,0.540545905707196,0.18579399788870454,-0.7701482484144159,0.540545905707196,0.09337349397590361,0.18579399788870454,-0.10240963855421689,0.28494623655913975,0.6799999999999999,Mid,9.771986,4.227309
GSM5319988_sham2_1-394-1,GSM5319988_sham2,Sham,4,Endothelial,-0.028450363196125913,0.40997518610421835,0.11746987951807228,-1.364023759804884,0.40997518610421835,0.11746987951807228,-0.07020057306590258,-0.12650602409638553,-0.036290322580645164,-0.252,Low,9.494631,3.115441
GSM5319988_sham2_1-395-1,GSM5319988_sham2,Sham,14,Endothelial,1.0505172793308386,1.328287841191067,0.12486804403559038,-0.2083948245296847,1.328287841191067,-0.22088353413654618,0.12486804403559038,-0.31325301204819284,-0.10080645161290322,3.52,High,15.164256,5.136658
GSM5319988_sham2_1-396-1,GSM5319988_sham2,Sham,7,Pericyte,1.6803323794849219,1.8919602977667491,-0.16799879354546826,0.4661690130907905,1.8919602977667491,-0.37349397590361444,-0.16799879354546826,-0.11244979919678721,-0.08064516129032258,6.144,High,-0.18511668,9.317075
GSM5319988_sham2_1-397-1,GSM5319988_sham2,Sham,0,Endothelial,0.33386528725511777,0.31622828784119106,-0.12320916905444126,-1.0938321436637406,0.31622828784119106,-0.20481927710843373,-0.12320916905444126,-0.08835341365461852,-0.056451612903225805,0.8119999999999999,Mid,11.1094,9.976366
GSM5319988_sham2_1-398-1,GSM5319988_sham2,Sham,0,Endothelial,0.49003962139555357,0.1596029776674938,0.08912682853264967,-1.4619993451935454,0.1596029776674938,-0.06124497991967871,0.08912682853264967,0.07228915662650598,0.1303763440860215,1.9520000000000002,Low,11.076538,8.615971
