protein_A,protein_B,score
JAK2,VEGFA,0
JAK2,IRF1,0
IRF1,JAK2,0
JUN,JAK2,0
STAT3,MAPK1,0
MAPK1,TSC1,0
TSC1,MAPK1,0
MAPK1,RPS6KB1,0
SIRT1,MDM4,0
MDM4,SIRT1,0
MDM4,LIG4,0
LIG4,MDM4,0
SLC39A8,SLC39A14,0
SLC39A14,SLC39A8,0
STEAP3,SLC39A14,0
SLC39A14,STEAP3,0
SLC39A14,NCOA4,0
NCOA4,SLC39A14,0
MAPK1,JUN,0
JUN,MAPK1,0
STAT1,MAPK1,0
MAPK1,STAT1,0
TSC2,MAPK1,0
MAPK1,TSC2,0
RPS6KB1,MAPK1,0
SIRT6,SIRT1,0
SIRT6,PPARGC1A,0
SIRT1,MMP3,0
NFE2L2,PTGS2,0
MAPK3,PTGS2,0
TLR4,PTGS2,0
PTGS2,TLR4,0
SERPINE1,PTGS2,0
PTGS2,SERPINE1,0
STAT3,PTGS2,0
PTGS2,STAT3,0
PTGS2,NFE2L2,0
PTGS2,MAPK1,0
JUN,PTGS2,0
MAPK1,PTGS2,0
VEGFA,PTGS2,0
PTGS2,VEGFA,0
STAT1,PTGS2,0
PTGS2,STAT1,0
PTGS2,IL18,0
IL18,PTGS2,0
TIMP1,PTGS2,0
PTGS2,MAPK3,0
PTGS2,JUN,0
IL18,SERPINE1,0
SERPINE1,SIRT1,0
SERPINE1,TLR4,0
STAT3,SERPINE1,0
SERPINE1,STAT3,0
SERPINE1,MAPK3,0
MAPK3,SERPINE1,0
SERPINE1,MIF,0
MIF,SERPINE1,0
SIRT1,SERPINE1,0
SERPINE1,IRF1,0
PPARGC1A,SERPINE1,0
IRF1,SERPINE1,0
SERPINE1,S100A8,0
S100A8,SERPINE1,0
SERPINE1,IGFBP7,0
IGFBP7,SERPINE1,0
SERPINE1,NFE2L2,0
NFE2L2,SERPINE1,0
SERPINE1,PPARGC1A,0
PTGS2,TIMP1,0
PTGS2,MTOR,0
MTOR,PTGS2,0
SNAI1,MMP3,0
VEGFA,MMP3,0
MMP3,VEGFA,0
PTGS2,MMP3,0
MMP3,PTGS2,0
MMP3,JUN,0
JUN,MMP3,0
STAT3,MMP3,0
MMP3,STAT3,0
MMP3,SNAI1,0
SIRT1,PTGS2,0
TLR4,MMP3,0
MMP3,TLR4,0
MMP3,MAPK3,0
MAPK3,MMP3,0
MMP3,IL18,0
IL18,MMP3,0
STAT1,MMP3,0
MMP3,STAT1,0
MMP3,SERPINE1,0
SERPINE1,MMP3,0
MMP3,TIMP1,0
TIMP1,MMP3,0
PTGS2,SIRT1,0
PTGS2,MIF,0
MIF,PTGS2,0
PTGS2,KEAP1,0
KEAP1,PTGS2,0
PTGS2,JAK2,0
JAK2,PTGS2,0
PTGS2,PPARGC1A,0
PPARGC1A,PTGS2,0
PTGS2,NLRP3,0
NLRP3,PTGS2,0
PTGS2,IRF1,0
IRF1,PTGS2,0
SNAI1,PTGS2,0
PTGS2,SNAI1,0
S100A8,PTGS2,0
PTGS2,S100A8,0
TLR4,SERPINE1,0
SERPINE1,IL18,0
PPARGC1A,SIRT6,0
TLR4,MTOR,0
TLR4,STAT1,0
STAT1,TLR4,0
TLR4,MAPK3,0
MAPK3,TLR4,0
TLR4,NFE2L2,0
NFE2L2,TLR4,0
TLR4,SIRT1,0
SIRT1,TLR4,0
MTOR,TLR4,0
TLR4,JUN,0
VEGFA,TLR4,0
TLR4,VEGFA,0
TLR4,SQSTM1,0
SQSTM1,TLR4,0
