,S1,S2,S3,I1_3hr,I2_3hr,I3_3hr,I1_6hr,I2_6hr,I3_6hr,I1_12hr,I2_12hr,I3_12hr,I1_24hr,I2_24hr,I3_24hr,S1,S2,S3
1110038F14RIK,2.799303520311835,3.14956153610875,2.672628047440558,2.7990861050828193,3.019018042927692,2.775450655520414,2.366399663895053,2.8202702472057513,2.9229144092889783,3.14173267922376,3.223550145472578,2.937921271494283,2.3650501790013085,3.1551473010109743,3.248290640281543,2.799303520311835,3.14956153610875,2.672628047440558
1110051M20RIK,5.325195230713471,5.479029595313626,5.3564472675035315,5.27046807167529,5.388043450350356,5.296120767741508,5.124587076684214,5.063931983455706,5.352563415698719,5.090734615955632,5.241214212085373,5.095942870426136,4.8440348955983845,5.181961653488606,5.225107551363717,5.325195230713471,5.479029595313626,5.3564472675035315
1110057K04RIK,4.333927907110057,4.49899956784566,4.191179147981525,4.250070311390057,4.182792849326745,4.185165087914713,4.098702518184192,3.8784832787795542,4.240709210645947,4.195440532086422,4.269233495049873,4.134693646380603,4.150685155208113,4.3607283989560255,3.995150642237248,4.333927907110057,4.49899956784566,4.191179147981525
1110058L19RIK,3.220722051021031,3.3163685846920905,2.9265692514339254,3.1708804490317797,3.3410693993590868,3.021117864658221,3.061818067083077,2.7257010327923545,3.174650122731296,2.8517849630627445,2.773151545125877,2.507698390916768,2.687297077064385,3.0172815550719005,2.797360432021683,3.220722051021031,3.3163685846920905,2.9265692514339254
1110059E24RIK,3.378526400237434,3.405986850119459,3.147196928725252,3.357739794694225,3.3145880578742983,3.160945312962769,3.08196306061349,2.8679345334462503,3.0791598620216027,3.27522447393726,3.124505864353121,2.9678872165128203,3.048224277192798,3.2402431418807467,3.1018228674252857,3.378526400237434,3.405986850119459,3.147196928725252
1110059G10RIK,2.675334034444437,2.9209356608531944,2.6526574985524407,2.3313133645829844,2.331800065785679,2.1270792191784667,2.2713545504049844,2.4194055032694046,2.1673787910299547,2.56682938688674,2.562271317613448,2.225328304063576,2.469498057227518,2.4383510654935936,3.0206193909314787,2.675334034444437,2.9209356608531944,2.6526574985524407
1110065P20RIK,3.0192388996965476,2.889055811738305,2.5266554028513184,2.514658144229055,3.110798584243388,2.727803353050138,2.6189014179970838,2.52228553573546,2.87122393746209,2.439411717704624,2.599628733292364,2.386148464102289,1.9875042640926674,2.5388168427675226,2.355283414701913,3.0192388996965476,2.889055811738305,2.5266554028513184
1190002N15RIK,4.826545658566229,5.27390677661934,5.083134414962383,5.090076816232632,5.1624527047192625,5.24747144460076,5.257175059613465,4.916839069067543,5.027088758111013,5.272302468342587,5.417175839823408,5.150156462198279,4.686809328373956,4.910599370019117,5.210361202212134,4.826545658566229,5.27390677661934,5.083134414962383
1190005I06RIK,1.9678105980799145,2.272180210121792,1.971472735562983,1.827838235596447,2.476843260917289,1.8246170980105219,1.9591892102735453,1.7195670394312865,2.2026613278194063,1.783104721614721,2.0622004401479046,1.780505221675926,1.461274703671626,1.689363626496458,1.433214950505146,1.9678105980799145,2.272180210121792,1.971472735562983
1190007I07RIK,1.5488683737221227,1.6882478362601057,1.4762397798265554,1.8398382770080381,1.7551205112841373,1.6457172170966454,1.3370877318365404,1.440123811351411,1.451494019518727,1.4500198029773705,1.6040790535084253,1.2913048029985208,1.461274703671626,1.3064992091885503,1.4802533054839626,1.5488683737221227,1.6882478362601057,1.4762397798265554
1200007C13RIK,0.0,0.0,0.0,0.08311589145506199,0.02924626420548696,0.08889226269511284,0.1901713509972179,0.10980438769000479,0.06279164114503179,0.11566662019724434,0.0,0.24343590343252305,0.30109936212848604,0.6793249726937033,0.23756092203874155,0.0,0.0,0.0
1200014J11RIK,4.244271404652122,4.423115286401221,4.2587938893984205,4.2679443450287335,4.497273501633038,4.410984522669558,4.5267403479091755,4.724542026240974,4.560612935890361,4.732554740554757,4.4674886057835295,4.552783275819289,4.28269823723099,4.563301221025491,4.827140715626011,4.244271404652122,4.423115286401221,4.2587938893984205
1300017J02RIK,0.3506387588983331,0.24994498097402087,0.26845568261538416,0.5308455201682812,0.6538923173758086,0.7097603934019768,0.902172769145466,0.861701171499867,0.6785643241927848,0.7379502171880011,0.6007072727198596,0.7564105574971219,0.7178023476058452,0.7583874805353092,1.82811055621415,0.3506387588983331,0.24994498097402087,0.26845568261538416
1500009C09RIK,5.465799366564627,5.631316272185869,5.541584433664443,5.236830102013824,5.700794354902339,5.292616157597113,5.1313690220901655,5.148922529186575,5.557237309996395,5.026600994013745,5.368408291466861,5.02135674171686,4.708315114673941,5.113438710938323,4.830548139604204,5.465799366564627,5.631316272185869,5.541584433664443
1500009L16RIK,2.9986941615466214,3.0293648564053113,2.6526574985524407,2.736275189162912,3.21628864670151,2.859968503154792,2.8289630975121525,2.8627156038679225,3.0753578818284777,3.208394310489171,3.4787693552989207,2.792403311664165,2.196730371768984,2.604486047403147,2.686400927437055,2.9986941615466214,3.0293648564053113,2.6526574985524407
1500011B03RIK,4.453485000889117,4.514007580851994,4.391238998762252,4.225126236328364,4.577420451697404,4.423856817128194,4.301303196306544,4.333723139544263,4.611381590265883,4.183891230998097,4.3967393007513085,4.140343721769424,3.9772945222635956,4.214171191854623,4.305415023313075,4.453485000889117,4.514007580851994,4.391238998762252
1500011K16RIK,3.889963578117689,3.745639719913243,3.6518969814388105,3.423008199173567,3.7027769382737143,3.4854649549379335,3.1636284395419847,3.098538017914974,3.3326965363204906,3.2937636722850416,3.666508349495906,3.3195670346851043,3.0793679834582477,3.2987224453956916,3.0637239928805466,3.889963578117689,3.745639719913243,3.6518969814388105
