,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
BMP15,6.162746879,6.162712972,6.16276918,6.162953781,6.162810764,6.16276534,6.162881758,6.16298177,6.162694445,6.162692293,6.162830034,6.1628418
BMP2,7.135800582,7.08107408,7.079622532,7.078356568,7.079723572,7.080624943,7.079251697,7.078199105,7.079223274,7.079020329,7.078860116,7.079167452
BMP2K,8.162977493,8.163039447,8.163016697,8.162952789,8.162908113,8.162844381,8.162858165,8.162855209,8.162936767,8.163314176,8.163173662,8.163031077
BMP3,6.898185771,6.897831284,6.898158113,6.89783556,6.898160587,6.897974291,6.898043465,6.897982238,6.897770052,6.898172198,6.897701121,6.897926374
BMP4,7.12024592,6.862638117,7.250782141,7.362624419,7.049427552,7.382268292,7.225657629,7.192920284,7.464277093,7.557438315,7.236805119,7.160602974
BMP5,6.544383103,6.544239731,6.544940154,6.544326488,6.544853867,6.544576231,6.544458066,6.544145054,6.544639049,6.543754501,6.544607664,6.544890769
BMP6,8.240389837,8.24372237,8.537242952,8.302652496,8.594568409,8.595569859,8.18921539,7.816944246,7.986454523,7.968509919,8.016708402,8.216822145
BMP7,7.644509278,7.579289706,7.999426043,7.289272433,8.06518343,8.009287707,7.423352255,6.746673978,6.840035284,7.049699737,6.901279447,6.996837199
BMP8A,6.295971868,6.296168921,6.295890737,6.295733842,6.296098735,6.295776967,6.296113363,6.29599174,6.296111457,6.295834087,6.295965215,6.295539945
BMPER,7.440077705,7.48116231,7.770265651,7.503165085,7.835055016,7.693247695,7.528457255,7.735023877,7.569687047,7.646489128,7.65089812,7.584866014
BMPR1A,8.160279427,7.821545247,8.243409011,8.396277246,8.212446319,8.360350926,8.232750788,7.915386407,7.799847972,7.71124478,7.741004029,7.943656455
BMPR2,8.339732572,8.213311292,8.787100331,8.537423398,8.993460843,8.746037976,8.256663921,8.470177047,8.254388327,7.933262,8.158396875,8.179115037
BMS1,8.555876876,8.556044202,8.555821712,8.555620875,8.555791892,8.555814231,8.555692078,8.555621772,8.555778309,8.555737163,8.555763829,8.555668131
BMYC,8.120693239,8.096886519,8.370256631,8.40354226,8.032775488,8.208120068,8.23502562,8.448735083,8.453479699,8.47258695,8.528299876,8.502940904
BNC1,5.831010867,5.830611367,5.83082234,5.830843468,5.830990012,5.830893714,5.830735747,5.830674932,5.83063701,5.830559026,5.830606562,5.830197748
BNC2,6.641594764,6.572593538,7.266462845,6.974033546,6.866865072,7.252063876,6.828414872,6.485749809,6.503286976,6.603495972,6.523295155,6.879663237
BNIP1,8.002129198,8.001823194,8.002251837,8.002124281,8.002188268,8.002172673,8.002105196,8.002035328,8.001851236,8.002006562,8.001842816,8.002092547
BNIP2,8.27876063,8.325893235,8.549760816,8.179630853,8.428944301,8.777409278,8.198205124,7.924401589,8.155180767,8.025293609,8.212266788,8.052748793
BNIP3,10.8631625,10.86303056,10.8632087,10.86341462,10.86323389,10.86314728,10.86334653,10.86333859,10.86331219,10.86334039,10.86335038,10.863458
BNIP3L,10.4001446,10.61092051,10.68138457,10.6075145,10.68060341,10.51274589,10.60155927,10.87802662,11.00026056,10.95963109,10.87716735,10.89826079
BNIPL,6.425260351,6.424962125,6.424727438,6.425148438,6.425220655,6.425005327,6.425175058,6.425174298,6.424866076,6.424581573,6.425040804,6.425335942
BOC,7.51634895,7.920320365,7.842780064,7.54877745,7.86096269,7.65968149,7.563461394,7.978546167,8.072545054,8.084994486,7.964387557,8.023741933
BOD1,9.184729831,8.788526804,9.090507662,8.803496513,9.131105451,9.302686487,8.945100136,8.594399319,8.585286794,8.571305229,8.504777448,8.631078563
BOD1L1,8.078293274,7.357145268,8.158912629,7.981478587,7.939684768,7.878176484,7.9180755,7.718046212,7.32688995,7.484051318,7.4493264,7.320035744
BOK,9.0979438,9.097772797,9.097888139,9.097904181,9.098015537,9.097609302,9.097779277,9.097683446,9.097924676,9.098023164,9.097849679,9.09796454
BOLA1,8.508079644,8.323553575,8.759060584,8.81003933,8.542449718,8.674894132,8.702758008,8.572524518,8.466913063,8.519670808,8.570168597,8.705367552
BOLA3,9.072428203,8.83820813,9.191899173,9.112714463,9.060237949,9.275061417,9.20053891,8.892593378,8.750600974,8.839090829,8.965917437,8.918410968
