,GSM1509427,GSM1509428,GSM1509429,GSM1509430,GSM1509431,GSM1509422,GSM1509423,GSM1509424,GSM1509425,GSM1509426
LOC684270,11.2862,11.0158,11.2179,11.2814,11.1918,10.7455,10.7503,10.96,11.0241,10.8837
LOC684444,4.8572,2.7803,5.1033,2.9196,3.8016,1.6557,2.2363,1.4986,3.6295,2.5664
LOC684480,4.3203,5.9785,5.5484,4.8378,5.3484,4.2359,6.1321,5.3776,6.0238,6.2571
LOC684529,11.0495,10.7972,10.6002,10.6118,10.7134,9.8577,9.9275,9.567,9.6364,9.9275
LOC684828,7.7516,6.9298,7.2022,7.2966,7.8485,6.8691,6.9825,7.0079,6.3631,6.8634
LOC684841,8.9139,8.2613,8.3068,8.1276,8.4397,6.9455,6.8971,7.2993,6.9972,7.2925
LOC684934,9.8123,9.6418,9.31,9.4941,9.7093,9.4378,9.461,9.1144,9.2574,9.1821
LOC684998,5.7089,5.8466,5.8183,5.5155,5.9978,6.5036,5.2737,6.9213,5.759,5.9761
LOC685048,8.6478,7.6812,8.5423,6.7059,8.6114,7.2666,5.766,7.0451,6.7085,6.7608
LOC685067,11.6809,11.7076,11.6953,10.7601,11.0134,8.5163,8.0692,8.8109,8.0713,8.4269
LOC685069,13.8663,13.0367,13.3579,13.3495,13.274,12.1686,11.9945,12.1601,12.1966,12.2061
LOC685108,12.8449,11.0876,10.8564,11.3081,11.1043,8.5077,8.0268,8.0917,8.6103,8.5869
LOC685152,11.0015,11.3168,11.6368,11.3375,11.0788,11.8874,11.8837,11.5993,11.6393,11.9447
LOC685158,7.7579,6.911,6.7137,7.807,7.6713,6.761,7.2821,7.4997,7.8539,8.502
LOC685179,11.3494,11.7112,11.6869,12.0532,11.5816,12.0696,12.1805,12.1641,11.9788,12.195
LOC685273,12.1939,11.8969,12.0764,11.9823,12.0028,11.4795,11.5019,11.4278,11.6564,11.5495
LOC685447,12.2921,11.9499,12.3364,12.248,12.106,12.0721,12.3396,12.372,12.3636,12.1949
LOC685574,8.3565,8.7201,8.4515,8.5414,8.5624,9.0114,9.2211,8.876,9.1891,8.9702
LOC685590,11.6823,11.796,11.8925,11.7316,11.8632,12.1789,12.2886,12.1291,12.2413,12.1704
LOC685596,14.8261,14.6916,14.9732,14.8017,14.689,14.7077,14.7176,14.6284,14.7347,14.6295
LOC685619,9.5734,9.4046,9.7606,9.5718,9.6128,9.5905,9.8153,9.5787,9.6222,9.5388
LOC685707,10.5896,10.9881,10.5217,10.6697,10.8737,10.6709,10.4703,10.4047,10.4988,10.9289
LOC685849,4.9778,6.0939,6.3943,7.2464,6.886,6.2339,7.4282,4.2472,4.5213,3.9816
LOC685888,11.6041,11.565,11.7531,11.8158,11.744,11.9005,11.741,11.87,11.456,11.9405
LOC685964,5.8476,6.2825,4.3862,3.7909,6.3651,4.6715,6.2777,3.6634,6.7595,5.3972
LOC686087,11.5835,10.6158,10.5283,10.8874,10.9093,10.4802,10.5444,10.6908,10.686,11.2796
LOC686120,5.952,5.2791,6.6599,6.8815,6.5193,5.7213,6.4786,6.318,6.7462,6.2822
LOC686124,5.1032,2.0019,5.8798,5.7868,1.9754,4.9256,5.5077,4.534,1.5669,4.9797
LOC686143,5.6252,6.2135,3.6421,6.3072,6.2728,6.2828,6.1377,5.7183,6.14,5.601
LOC686151,9.13,8.7892,8.7253,9.048,9.1497,5.8642,4.5428,5.3779,4.2166,3.8678
LOC686432,7.5739,8.1477,7.2863,7.6937,7.7297,7.8281,7.834,7.4442,7.6876,7.893
LOC686442,14.2479,14.3111,14.5777,14.4755,14.4321,14.7529,14.7993,14.8185,14.7805,14.8164
LOC686461,10.5723,9.823,9.9323,9.5056,9.8974,8.3037,8.1999,8.2488,8.3963,8.5736
LOC686774,11.6,11.5939,11.4977,11.2574,11.3357,11.7008,11.5601,11.7362,11.5809,11.5356
LOC686980,11.1068,10.7584,10.5568,10.6211,10.883,10.5095,10.8104,10.8522,10.7696,10.8604
LOC687022,10.5808,11.3128,11.3194,11.4819,11.4076,11.9093,11.8726,11.7344,12.0903,12.041
LOC687029,12.1688,11.9709,12.2015,12.2836,12.2045,12.4295,12.3551,12.382,12.4228,12.3719
LOC687035,2.9069,5.3387,3.1933,6.1364,6.3262,5.473,6.3787,6.1821,5.9797,2.9312
LOC687183,9.678,9.7547,9.6809,9.7603,9.956,9.8198,9.8167,9.7921,9.5559,9.7785
LOC687295,10.4526,10.1541,10.3108,10.2987,10.3709,10.0849,10.0376,10.2159,10.1442,10.0233
LOC687399,6.796,6.5699,6.0154,5.7905,5.9779,6.2615,6.7367,4.6132,4.766,4.9392
LOC687508,8.1609,8.4206,8.5325,8.945,8.6139,8.936,9.0881,8.7453,9.128,8.7672
LOC687565,12.0203,12.0827,12.2522,12.0856,12.1755,12.2656,12.1306,12.1167,12.1336,12.1745
LOC687797,5.7697,4.982,4.0687,6.3641,6.6616,6.9251,6.3662,5.7029,6.4652,5.9927
LOC687808,7.416,7.301,7.4729,7.2397,7.4871,7.131,7.2754,7.2698,6.1366,6.8585
LOC688041,11.4982,11.826,11.3015,11.5712,11.2589,11.629,11.8804,11.2007,11.1316,11.9787
LOC688090,9.0518,9.2415,8.9408,8.773,10.1354,7.175,6.281,6.2249,7.5839,7.7936
LOC688126,9.127,6.4466,6.1759,8.0586,7.4296,6.8154,6.9707,6.4388,6.9941,7.0881
LOC688176,10.3177,9.8664,9.8681,9.9297,10.3277,10.163,10.2356,10.0952,10.2284,10.1153
LOC688251,4.6701,4.306,6.4266,4.6606,2.2149,5.1505,6.3723,3.526,2.5926,3.272
LOC688280,9.0842,8.5035,8.7332,8.3703,9.313,7.3793,6.8955,7.8166,7.6573,7.7493
LOC688314,9.2544,9.0099,9.2803,9.3717,9.5455,9.196,9.5377,9.317,9.1133,9.3801
LOC688324,5.5715,3.0021,4.7955,5.3382,5.9031,6.0266,5.5736,2.7889,4.9016,6.0138
LOC688452,9.9189,9.8101,9.7598,10.1784,9.4864,10.6171,10.4665,10.485,10.8157,10.4982
LOC688459,7.6673,7.0258,6.6603,7.5519,7.3737,7.0314,7.5706,7.2196,7.0897,6.908
LOC688637,11.3546,11.1234,10.9104,11.1151,11.0793,10.8499,11.1554,10.8299,10.8991,10.966
LOC688682,12.008,12.7676,13.1059,12.957,13.0734,13.6584,13.7902,13.6378,13.7441,13.575
LOC688712,14.7745,14.4355,14.8631,14.5574,14.5296,14.5064,14.2551,14.4513,14.3195,14.3913
LOC688765,7.6438,7.5014,7.1701,7.9182,7.7434,8.2567,7.6129,7.9981,7.8417,8.1315
LOC688815,11.3666,11.0437,11.4042,11.0667,11.6048,11.4338,11.2867,11.3725,11.3699,11.6003
LOC688963,14.5464,14.4014,14.9496,14.5535,14.5898,14.7075,14.675,14.7612,14.6869,14.4814
LOC689226,12.5489,12.3276,12.3996,12.5174,12.3263,12.3531,12.1788,12.2126,12.3519,12.8179
LOC689499,9.3912,9.4602,9.2461,9.4393,9.1663,10.5264,10.0043,10.1806,9.9229,10.7507
