,ferroptosis,senescence,shared,dataset,sample,group,idsp_index
GSM922908,0.17468384197324416,0.07791121277587157,0.3894105894105894,GSE37587,GSM922908,control,-5.8526800081901325
GSM922909,0.30970944816053514,0.08379003049942814,0.38499961576884656,GSE37587,GSM922909,control,0.42043863810867466
GSM922910,0.2248798076923077,0.05749486381158131,0.3524782909398294,GSE37587,GSM922910,control,-3.2290180849953716
GSM922911,0.3006584448160535,0.08968738086160885,0.43571812802582033,GSE37587,GSM922911,control,0.7318086859428656
GSM922912,0.2914402173913043,0.0935302558563138,0.4586797817567048,GSE37587,GSM922912,control,0.24998685131524812
GSM922913,0.30036841555183946,0.08263968314482992,0.4300161377084454,GSE37587,GSM922913,control,0.3170961814591257
GSM922914,0.29731135033444817,0.08902682467064854,0.521140398063475,GSE37587,GSM922914,control,0.5568614721792666
GSM922915,0.30288461538461536,0.088645581818952,0.5013601782832552,GSE37587,GSM922915,control,0.848167020155655
GSM922916,0.27561141304347825,0.13233495361545305,0.6065165603627142,GSE37587,GSM922916,control,-0.5773591447658433
GSM922917,0.3266696279264214,0.08234580844664718,0.4648889571966495,GSE37587,GSM922917,control,0.29069569195832123
GSM922918,0.3318561872909699,0.11796289236243487,0.48284023668639053,GSE37587,GSM922918,control,2.362464214699589
GSM922919,0.28067516722408026,0.11482425763544711,0.5577192038730501,GSE37587,GSM922919,control,-0.3126849056761838
GSM922920,0.2654865175585284,0.09287102342525522,0.5361715207869054,GSE37587,GSM922920,control,-1.1065710521303584
GSM922921,0.295803720735786,0.08417656839073157,0.48325520633212943,GSE37587,GSM922921,case,0.4551636062809047
GSM922922,0.30832984949832776,0.11636776168085737,0.4050411127334204,GSE37587,GSM922922,case,1.1327805982066623
GSM922923,0.3209265259197324,0.06582396111322912,0.4214247291170368,GSE37587,GSM922923,case,-1.1935588551567653
GSM922924,0.27208403010033444,0.08296532808065404,0.34239606547298856,GSE37587,GSM922924,case,-0.7617297447509
GSM922925,0.2775580058528428,0.08623633879781421,0.4926611849688773,GSE37587,GSM922925,case,-0.47561388773705293
GSM922926,0.2236517558528428,0.04196583640445631,0.24301851994159687,GSE37587,GSM922926,case,-3.3368742708009584
GSM922927,0.18246498745819398,0.06695709958910492,0.26916160762314606,GSE37587,GSM922927,case,-5.445972121704578
GSM922928,0.284244356187291,0.09915358791883763,0.4821178821178821,GSE37587,GSM922928,case,-0.1261291726542655
GSM922929,0.24770589464882944,0.08086054983691278,0.5058787366479675,GSE37587,GSM922929,case,-2.0359354468698476
GSM922930,0.25650083612040137,0.06430031346634472,0.41421655267809115,GSE37587,GSM922930,case,-1.5762380842404384
GSM922931,0.31384563127090304,0.0811531007751938,0.5166064704526243,GSE37587,GSM922931,case,0.18354775934469347
GSM922932,0.18604201505016724,0.058187190240183,0.34527011450088374,GSE37587,GSM922932,case,-5.259006676238249
GSM922933,0.30768446906354513,0.05930047231753294,0.4950126796280642,GSE37587,GSM922933,case,-1.7796021536250877
GSM922934,0.24090980351170568,0.08392770152920744,0.4903250595558288,GSE37587,GSM922934,case,-2.3911561361743914
GSM922935,0.2623327759197324,0.07681249205744059,0.4639206946899255,GSE37587,GSM922935,case,-1.2714120255984802
GSM922936,0.2763560827759197,0.07341969542932181,0.46979174671482365,GSE37587,GSM922936,case,-0.5384364625467759
GSM922937,0.274508779264214,0.08927966281187784,0.5189425958656728,GSE37587,GSM922937,case,-0.6349920286130248
GSM922938,0.2863764632107023,0.08975754013640022,0.5090448013524936,GSE37587,GSM922938,case,-0.014687387774411365
GSM922939,0.29391722408026755,0.127221269115093,0.5457158226388996,GSE37587,GSM922939,case,0.37945598374919975
GSM922940,0.2732885660535117,0.09786424577455839,0.561715207869054,GSE37587,GSM922940,case,-0.6987705991263728
GSM922941,0.2679164924749164,0.08427849790316431,0.549727195881042,GSE37587,GSM922941,case,-0.979560194362874
GSM922942,0.3034071906354515,0.08351071716016435,0.49907016060862214,GSE37587,GSM922942,case,0.39534628097052116
GSM922943,0.24689590301003345,0.05857108061168297,0.5341120418043495,GSE37587,GSM922943,case,-2.0782723994590095
GSM922944,0.2960441053511706,0.09744329012581014,0.5049258433873819,GSE37587,GSM922944,case,0.49062462699945086
GSM922945,0.3114783653846154,0.09572769729317575,0.430938292476754,GSE37587,GSM922945,case,1.2973484300451756
GSM922946,0.2788539924749164,0.0850754013640022,0.48127257358026587,GSE37587,GSM922946,case,-0.4078747635943947
GSM922947,0.3144805602006689,0.10139868471216165,0.5046491969568893,GSE37587,GSM922947,case,1.4542682962546798
GSM922948,0.2791832148829431,0.06779239208709281,0.46507338815031124,GSE37587,GSM922948,case,-1.0167231439509212
GSM922949,0.303067516722408,0.017092387851061125,0.37772996234534695,GSE37587,GSM922949,case,-5.571402188459197
GSM922950,0.29149247491638797,0.08484109586139704,0.543763928379313,GSE37587,GSM922950,case,0.25271826761132477
GSM922951,0.2884955058528428,0.06524680179607743,0.5214170444939675,GSE37587,GSM922951,control,-1.2454084651673551
