dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE16561,TERF2,227.38304741503336,317.835547605182,-0.4813569219708411,6.86223568491557e-108,2.4155069610902803e-107
GSE16561,HMGA1,275.82853923354185,491.9534369374524,-0.8324586967478232,3.335969266927777e-107,1.151236452900566e-106
GSE16561,IL10,3181.1986157984547,11213.825554065981,-1.8172719759959728,2.2706995288531094e-106,7.685444559195139e-106
GSE16561,TLR4,757.4172951236995,214.15610210833802,1.8176081065793295,5.440140846659118e-106,1.8065373377584996e-105
GSE16561,PCNA,287.925949679563,714.3145296266493,-1.307877961808198,9.786552070752275e-106,3.189691045282223e-105
GSE16561,XRCC5,351.92597214423677,546.7725154452969,-0.6342112771860408,3.4643139629458263e-104,1.1085804681426644e-103
GSE16561,MAPK3,2080.191515528578,1038.1841821646294,1.0019583547192408,2.0676981393066549e-103,6.498479866392344e-103
GSE16561,NFE2L2,731.958409478926,1250.9197867904174,-0.7723388862050632,3.530086350592865e-103,1.0899915749199022e-102
GSE16561,FOXO1,608.0582450553665,250.69640928452426,1.2748955665120807,6.999380411545891e-101,2.1239499179863396e-100
GSE16561,BECN1,334.4147037231242,502.07942859680423,-0.5848402632865486,2.409767451666455e-100,7.188458838869426e-100
GSE16561,HDAC3,426.4350466924608,560.4715920442076,-0.3935078267664028,2.4748574771282428e-98,7.259581932909512e-98
GSE16561,CDKN1A,952.5847111299603,56.9311621153898,4.040949593905225,4.374903918620661e-98,1.2622673601266168e-97
GSE16561,RPS6KB1,430.5208792116629,266.6337488512401,0.6891703135747625,6.060784823267374e-97,1.7204808530565449e-96
GSE16561,EP300,269.68156404210646,465.6834346651767,-0.7858476286835494,1.3231086742501808e-94,3.696303597905267e-94
GSE16561,ATG7,778.8077205510504,331.382059573264,1.2302759240394117,3.5996157652692223e-94,9.89894335449036e-94
GSE16561,IFNG,149.57894702987383,76.78783629716844,0.9529035924743633,4.6949214306569916e-94,1.27124026430097e-93
GSE16561,PLIN2,540.2935966259489,964.4599910113116,-0.8348051532285226,2.0612000993067033e-92,5.496533598151209e-92
GSE16561,ATG5,194.9664569680555,112.6337751214628,0.7862150256732287,2.1639296271104103e-92,5.684352453304958e-92
GSE16561,BNIP3,403.778472299093,144.16156209130634,1.479473076980974,3.7294843578908736e-92,9.65278304395285e-92
GSE16561,LPIN2,258.86453507002483,126.09769068613419,1.0318219385032623,1.0964316862053912e-91,2.796695315538389e-91
GSE16561,HMGB1,397.41184936199295,88.94835441560417,2.1470917628862263,3.6741944836430844e-89,9.235741190440838e-89
GSE16561,MYC,205.73976613613323,590.1618370671605,-1.5157372220924925,3.7257819575073834e-89,9.235741190440838e-89
GSE16561,PARP1,535.9735525719542,1159.0491880819307,-1.1112630410378281,7.383284179257122e-89,1.804802799373963e-88
GSE16561,XRCC6,669.5772503407252,1278.2295561301619,-0.9317997323124574,1.0919514365545784e-88,2.6326500388165176e-88
GSE16561,XRCC1,166.23514539615937,244.12363264088899,-0.5516315130662033,3.22338975698648e-88,7.666440503102979e-88
GSE16561,MDM4,196.14756353086517,337.54723286282166,-0.7800812464843315,5.61310214982099e-88,1.3172079711579923e-87
GSE16561,HDAC2,580.3705307556247,990.5507427757434,-0.7702286603266987,4.662288478029407e-87,1.079687858069968e-86
GSE16561,GOT1,191.63936905367785,288.2385468584976,-0.5863572612570171,1.2008244349688302e-86,2.7447415656430405e-86
GSE16561,LPIN1,471.36057193344095,1030.757296230078,-1.1271431878981202,2.5370844183100024e-86,5.724703302853339e-86
GSE16561,CBS,105.18485655327561,372.15668832529263,-1.8132035123916344,9.099972113669745e-86,2.027335559501108e-85
GSE16561,MTOR,400.2712556747537,274.4320988734327,0.5428811139867598,2.686332758526166e-84,5.909932068757565e-84
GSE16561,BNIP3L,952.9700892951639,-119.69619261605622,8.897800222565238,6.375292356499182e-84,1.3852487095603162e-83
GSE16561,LMNB1,619.9643762159478,138.2747590368002,2.156576685645126,7.211203443750048e-84,1.5477704952439128e-83
GSE16561,GADD45A,471.4211124615617,132.2524714513781,1.825911149011124,1.816603574096894e-83,3.85207504868739e-83
GSE16561,HMOX1,235.91206244775088,488.48284341122326,-1.0469066379268992,2.279153489770661e-83,4.775369216662337e-83
GSE16561,LIG4,166.10274276532462,47.97279095418936,1.770683090939244,7.377558561932082e-83,1.527588596352996e-82
GSE16561,TNF,295.93077309302686,156.52731716636288,0.9145245867411305,1.1196500990023528e-81,2.2913769467955127e-81
GSE16561,CDKN1B,2153.3008238342454,621.2925587724436,1.7915548200201297,5.5185116587335015e-80,1.1163885654449382e-79
GSE16561,CXCL10,181.77287996596496,64.52419792977874,1.479952323656654,1.517037097101458e-79,3.034074194202916e-79
GSE16561,GABARAP,296.93764455401936,676.2241305101761,-1.1846229592697393,2.4298343709091352e-77,4.805065722247278e-77
GSE16561,KEAP1,238.4532095137922,345.353815005946,-0.532502791985076,2.308181742159821e-75,4.513777629112539e-75
GSE16561,BAP1,158.54057879708432,238.39226440944853,-0.5854531175864391,4.562104611219751e-74,8.823411116205232e-74
GSE16561,GADD45B,319.9421569913957,195.15002275166398,0.7103558028754617,5.528337273731585e-74,1.0575949567138685e-73
GSE16561,DPP4,114.10859053046282,232.92351265962597,-1.0230413749476053,1.854018296189755e-70,3.508679786337601e-70
GSE16561,TP53,103.73089107805757,156.92997895328227,-0.5925980182143812,2.6146029583362458e-70,4.8954268156082905e-70
GSE16561,HSPD1,1391.3034723001729,1065.3366218717897,0.3848107603676479,2.8103771320516663e-69,5.206593423590455e-69
GSE16561,ATR,115.90852751095778,237.3821414856467,-1.0278959932573526,5.446713704552928e-68,9.985641791680369e-68
GSE16561,FANCD2,240.75198669860904,148.59708002671258,0.6924457300512654,3.473692414627588e-67,6.302782113138716e-67
GSE16561,RELA,128.0133794520306,205.30907703522925,-0.6772866078246972,1.0734392572570759e-66,1.9278092783392386e-66
GSE16561,CDKN2B,176.9343132288146,99.35080048813079,0.8262926248150854,1.4090145106466887e-66,2.5049146855941135e-66
GSE16561,TSC1,291.40427215056417,510.1445872867237,-0.8057670536917586,6.8149710010146645e-65,1.199434896178581e-64
GSE16561,TERF1,203.2797096867389,129.5908572530033,0.6454920174259222,4.9941202081592216e-64,8.70262531322795e-64
