dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE97537,C2CD2L,100.07996521874178,132.27298806414856,-0.398887329851778,2.6133465567708203e-12,3.3102948843306894e-12
GSE97537,CEP170B,77.9341209754048,93.4163759451837,-0.25838803685530753,2.6337095436463787e-12,3.3357315976379047e-12
GSE97537,TMIE,78.05430305710658,96.04138109139338,-0.2957560900076012,2.6465165763358793e-12,3.3515938802559517e-12
GSE97537,CALHM2,153.28621517521975,202.14883701791814,-0.3969279365540954,2.6536035169071403e-12,3.360209522371666e-12
GSE97537,IL1R2,342.78730993154255,87.98282862604299,1.9499174268448622,2.7164046622488746e-12,3.439365655013786e-12
GSE97537,AGAP3,135.78882846419813,185.96959310693867,-0.4508532532644644,2.7227089460105007e-12,3.4469792184016185e-12
GSE97537,GAD1,107.66900701315907,72.09444697114546,0.572106821575754,2.7384489791323275e-12,3.466535638433386e-12
GSE97537,CCL21,89.58796388747109,89.37545988372082,0.003388293688424411,2.782647184498443e-12,3.522108531442658e-12
GSE97537,PLA2G4A,101.33524908804448,147.34206860767372,-0.5356246295055174,2.785708899285642e-12,3.5256069983370336e-12
GSE97537,TMEM41A,143.60852215131683,180.2656841010103,-0.32595325389920526,2.8326695078936925e-12,3.5846574375301072e-12
GSE97537,POLD1,103.93981936544625,143.59335929625433,-0.46243908374728904,2.8619006091776235e-12,3.6212614996016503e-12
GSE97537,WWP1,93.88050950796436,78.82289439054982,0.2493091650275191,2.869585621749885e-12,3.6305976436735108e-12
GSE97537,MPHOSPH10,130.31821278036176,67.47290438481073,0.9394619073148436,2.888004087820858e-12,3.6535102995605535e-12
GSE97537,EIF5A2,102.48793852289093,81.67547078328218,0.32393137123605464,2.900570363398956e-12,3.669015454866685e-12
GSE97537,JMJD6,193.09976009513932,114.53734509788963,0.7484390860361708,2.9913558437821366e-12,3.7834484668045586e-12
GSE97537,INPP4A,153.25950384388895,116.0943301097969,0.39768815578236705,2.996173464577386e-12,3.789137028095784e-12
GSE97537,CTNNB1,236.25279074183518,314.703615614046,-0.41214572590806425,3.0272404334516874e-12,3.828017297362391e-12
GSE97537,NEUROG3,88.60832370918885,88.48461185500591,0.0019931384379217603,3.0327470977294227e-12,3.834571103493229e-12
GSE97537,PALMD,106.41651794994387,82.56523672546192,0.36224105174260945,3.053639880023252e-12,3.8605754665124204e-12
GSE97537,TEX261,148.7811202616011,200.065313387532,-0.42480843259256934,3.05982345319625e-12,3.8679800906690286e-12
GSE97537,RAB11B,122.83107230469393,96.05632572894437,0.35147921815065475,3.0809059100463013e-12,3.894215081218858e-12
GSE97537,SREBF1,124.74113085965124,176.00878949165423,-0.4933643568458614,3.104443876087016e-12,3.9235478638858314e-12
GSE97537,IER2,197.65465748699393,137.21883961789726,0.5233083454807785,3.111481190451308e-12,3.932022281337667e-12
GSE97537,FDX1,111.51400665313447,84.26818991860371,0.40002507457590786,3.1293697780783223e-12,3.954206332539261e-12
GSE97537,ITGBL1,109.40915865596376,83.74125670023169,0.3817234225334083,3.1811347889670655e-12,4.019186623576507e-12
GSE97537,STARD8,121.06150171257782,90.03162538396369,0.42316849942159224,3.251369978995098e-12,4.107486602078412e-12
GSE97537,PIP4K2B,116.70636947496156,91.28749308454017,0.3509853410049979,3.2565655802401678e-12,4.113611375679948e-12
GSE97537,ARHGAP44,81.7434401588099,102.90030613715778,-0.3284830593510842,3.295273480602559e-12,4.162062216940256e-12
GSE97537,OSBPL6,182.01062302912118,124.56153524107313,0.5435328195979734,3.3184531993142443e-12,4.190892100371157e-12
GSE97537,FAM19A2,119.15503406863016,81.58841065183849,0.5408858410078833,3.4501559288281083e-12,4.356755503173043e-12
GSE97537,ANKHD1,99.69630976204886,122.50270934735022,-0.29453187777978207,3.457044770379476e-12,4.364989030290401e-12
GSE97537,TBL1XR1,130.18003228592733,175.23664588703485,-0.4259658079856219,3.50464205124982e-12,4.4246152605660645e-12
GSE97537,IFT81,91.96955611122351,107.47121747021492,-0.22248200587502742,3.531205393606899e-12,4.457676233016982e-12
GSE97537,WDR47,99.67655958460861,73.25690080563425,0.43913081222406886,3.5480814364795515e-12,4.478502535908151e-12
GSE97537,ABLIM2,87.60056959606462,109.62140581797837,-0.320242702855873,3.710012952784187e-12,4.682398568953055e-12
GSE97537,CCDC58,211.77806134701544,140.48402713826096,0.5887102193114244,3.739521203728399e-12,4.719137863513586e-12
GSE97537,STOX2,97.89511236156396,78.52261667128064,0.3145339920361928,3.7653461764596625e-12,4.751221661920169e-12
GSE97537,PRDM5,95.30830733069465,79.5504589542576,0.2577674379234621,3.853261341249679e-12,4.861637457830309e-12
GSE97537,TMEM117,89.56952711327752,68.07487632748978,0.39086465089056255,3.85651419001358e-12,4.865223154053996e-12
GSE97537,GRM2,146.5120522743727,192.9618854409699,-0.3949403501352079,3.893280211075231e-12,4.91108245225757e-12
GSE97537,RPS6KA2,148.7168349059556,102.11513448789887,0.5379803578171669,3.973785016908014e-12,5.012099316703003e-12
GSE97537,CNKSR3,91.26594128044245,76.76743749482301,0.2466319933489455,3.993478138073818e-12,5.036401601121747e-12
GSE97537,GPNMB,122.94670492389764,73.70737060311481,0.7303974274960711,4.0437288375310095e-12,5.099232498956836e-12
