dataset,cell_type,metric,rho,p_value,significant_bonf,n_samples
GSE37587,Dendritic_cell,idsp_index,-0.1419628201702485,0.24816758559866434,False,68
GSE61616,Monocyte,ferroptosis,0.6392857142857141,0.010288446619594207,False,15
GSE61616,Monocyte,senescence,0.2964285714285714,0.28335542843426287,False,15
GSE61616,Monocyte,idsp_index,0.6928571428571427,0.0041902329602981365,False,15
GSE61616,Macrophage_M1,ferroptosis,0.5857142857142856,0.021776517619042774,False,15
GSE61616,Macrophage_M1,senescence,0.6857142857142856,0.004772245222691258,False,15
GSE61616,Macrophage_M1,idsp_index,0.9357142857142854,3.010645621400815e-07,True,15
GSE61616,Macrophage_M2,ferroptosis,-0.12511175683948864,0.6568464727285411,False,15
GSE61616,Macrophage_M2,senescence,0.6487938247533481,0.008878983956795783,False,15
GSE61616,Macrophage_M2,idsp_index,0.3413763650906046,0.21303107835871474,False,15
GSE61616,Neutrophil,ferroptosis,0.6416445815053773,0.009923545250624796,False,15
GSE61616,Neutrophil,senescence,0.6738161761212458,0.005882294882826482,False,15
GSE61616,Neutrophil,idsp_index,0.9204650681762376,1.1568972450162702e-06,True,15
GSE61616,Tcell_CD8,ferroptosis,-0.7714285714285712,0.0007568751073803471,True,15
GSE61616,Tcell_CD8,senescence,-0.2607142857142857,0.34797945986279355,False,15
GSE61616,Tcell_CD8,idsp_index,-0.5035714285714286,0.05565451716115848,False,15
GSE61616,Tcell_CD4,ferroptosis,-0.7785714285714285,0.0006273501294803568,True,15
GSE61616,Tcell_CD4,senescence,0.11071428571428568,0.6944626472070963,False,15
GSE61616,Tcell_CD4,idsp_index,-0.457142857142857,0.08667812662416982,False,15
GSE61616,Treg,ferroptosis,0.7428571428571428,0.00150948887823503,True,15
GSE61616,Treg,senescence,0.6357142857142856,0.0108607461687898,False,15
GSE61616,Treg,idsp_index,0.9035714285714285,3.880504128799775e-06,True,15
GSE61616,NK_cell,ferroptosis,-0.4892857142857142,0.06416038631454055,False,15
GSE61616,NK_cell,senescence,-0.07142857142857141,0.8002959873970544,False,15
GSE61616,NK_cell,idsp_index,-0.6214285714285712,0.013402006712181795,False,15
GSE61616,B_cell,ferroptosis,-0.7499999999999999,0.001280898450935536,True,15
GSE61616,B_cell,senescence,0.16428571428571426,0.5584973732486012,False,15
GSE61616,B_cell,idsp_index,-0.46071428571428563,0.08393338135031411,False,15
GSE61616,Plasma_cell,ferroptosis,-0.6321428571428571,0.011457541540078888,False,15
GSE61616,Plasma_cell,senescence,0.125,0.6571356681869504,False,15
GSE61616,Plasma_cell,idsp_index,-0.46071428571428563,0.08393338135031411,False,15
GSE61616,Dendritic_cell,ferroptosis,0.6428571428571428,0.009739944695595262,False,15
GSE61616,Dendritic_cell,senescence,0.6428571428571428,0.009739944695595262,False,15
GSE61616,Dendritic_cell,idsp_index,0.8785714285714284,1.6315280286544268e-05,True,15
GSE97537,Monocyte,ferroptosis,0.7810870121972561,0.0027052956461396894,False,12
GSE97537,Monocyte,senescence,0.833626497322632,0.0007538511759524885,True,12
GSE97537,Monocyte,idsp_index,0.8301238649809405,0.0008314183449022769,True,12
GSE97537,Macrophage_M1,ferroptosis,0.8251748251748254,0.0009513628555555001,True,12
GSE97537,Macrophage_M1,senescence,0.9230769230769231,1.8621951098680987e-05,True,12
GSE97537,Macrophage_M1,idsp_index,0.8671328671328673,0.00025981184986148103,True,12
GSE97537,Macrophage_M2,ferroptosis,0.7972027972027973,0.0019003677255282703,False,12
GSE97537,Macrophage_M2,senescence,0.9580419580419581,9.5435818268384e-07,True,12
GSE97537,Macrophage_M2,idsp_index,0.9090909090909092,4.1910446530342335e-05,True,12
GSE97537,Neutrophil,ferroptosis,0.8371291296643237,0.0006820012896813326,True,12
GSE97537,Neutrophil,senescence,0.7880922768806397,0.002328675140237453,False,12
GSE97537,Neutrophil,idsp_index,0.8651501883978577,0.00027881184408392283,True,12
GSE97537,Tcell_CD8,ferroptosis,0.7740817475138726,0.003126656373920488,False,12
GSE97537,Tcell_CD8,senescence,0.5814369687208274,0.047373596171879875,False,12
GSE97537,Tcell_CD8,idsp_index,0.7285475270718802,0.00720175094976221,False,12
GSE97537,Tcell_CD4,ferroptosis,-0.5964948999491283,0.040629164168687226,False,12
