gene,n_datasets,mean_normalized_rank,rank_cv,ks_statistic,rra_pvalue,rra_padj,significant
NBN,5,0.5339449541284405,0.3115893043232806,0.2981651376146789,0.6712149051700952,0.8464458768943861,False
ALOX12,5,0.6110091743119266,0.39981689213990373,0.29724770642201837,0.6748162981692571,0.8464458768943861,False
HSPD1,5,0.4669724770642202,0.5664630106545289,0.2926605504587156,0.692743733650653,0.863939024150527,False
DDIT3,5,0.5064220183486239,0.6695697267543068,0.28990825688073396,0.7034200158048246,0.8667283156716875,False
BRD4,5,0.4908256880733945,0.3557299579058633,0.28899082568807344,0.706962727529441,0.8667283156716875,False
ATR,5,0.42293577981651376,0.489652770335751,0.28899082568807344,0.706962727529441,0.8667283156716875,False
IL10,5,0.5871559633027523,0.44680397162717783,0.28623853211009176,0.7175366545048713,0.8747497417278487,False
CDK2,5,0.4394495412844036,0.5039235270512977,0.2844036697247706,0.7245365463892663,0.878348774114362,False
CDO1,5,0.4284403669724771,0.5692307778089739,0.28165137614678903,0.73495407688118,0.8860279704623114,False
HDAC2,5,0.5,0.41461394311343963,0.2770642201834863,0.7520708084600222,0.901653952684115,False
CCND1,5,0.5798165137614678,0.32072281318393436,0.27522935779816515,0.7588225905663364,0.9018279119394922,False
HMGB1,5,0.4275229357798165,0.5524823873194762,0.2743119266055046,0.762176676291497,0.9018279119394922,False
ALOX5,5,0.41100917431192663,0.7070504088180787,0.2724770642201836,0.7688394640958799,0.9018279119394922,False
BRCA2,5,0.4908256880733945,0.390783862577085,0.2724770642201835,0.7688394640958804,0.9018279119394922,False
TP53,4,0.4896788990825688,0.30645171300335394,0.29357798165137616,0.7904188736561961,0.9072047997436935,False
JUN,5,0.6018348623853211,0.4194539185976201,0.26605504587155965,0.7916470027800943,0.9072047997436935,False
ATG3,5,0.4678899082568807,0.3597919002097999,0.2660550458715596,0.7916470027800945,0.9072047997436935,False
MMP13,5,0.5422018348623853,0.42044568502114965,0.26513761467889907,0.7948358263919293,0.9072047997436935,False
CXCL10,5,0.5981651376146789,0.4256404402010242,0.26330275229357797,0.8011583089411316,0.9072047997436935,False
MCM5,5,0.526605504587156,0.4730983713578104,0.26055045871559634,0.8104996835032441,0.9072047997436935,False
E2F2,5,0.5440366972477064,0.5458796919557716,0.26055045871559634,0.8104996835032441,0.9072047997436935,False
PRKAA1,5,0.418348623853211,0.5978200497979533,0.2605504587155963,0.8104996835032444,0.9072047997436935,False
CDKN2B,5,0.5009174311926606,0.37612288110089376,0.25688073394495414,0.8226772198994573,0.9072047997436935,False
SELE,5,0.5697247706422018,0.41881578360686383,0.25688073394495414,0.8226772198994573,0.9072047997436935,False
PARP1,5,0.4385321100917431,0.5791466089233502,0.25596330275229356,0.825670218234141,0.9072047997436935,False
COL1A2,5,0.4513761467889908,0.6391815938522737,0.2541284403669726,0.8315927381910277,0.9072047997436935,False
TRIB3,5,0.5422018348623853,0.44982372246689095,0.25412844036697246,0.8315927381910282,0.9072047997436935,False
GCLM,5,0.5045871559633028,0.3829852294147018,0.2522935779816514,0.8374289685567666,0.9072047997436935,False
VEGFA,5,0.4568807339449541,0.5447506568804058,0.2522935779816514,0.8374289685567666,0.9072047997436935,False
PCNA,5,0.5798165137614679,0.3838321913246365,0.2513761467889908,0.8403141232648959,0.9072047997436935,False
PTEN,5,0.5091743119266054,0.5798611399663082,0.24495412844036696,0.859873844970253,0.9187082603617902,False
FOXO4,5,0.4678899082568807,0.7636241720892343,0.2440366972477065,0.8625746310310741,0.9187082603617902,False
EP300,5,0.4733944954128441,0.4950554747505678,0.24311926605504586,0.8652514510556708,0.9187082603617902,False
IGFBP3,5,0.5513761467889908,0.4530070404466364,0.24220183486238533,0.8679041169316452,0.9187082603617902,False
HIF1A,5,0.5559633027522936,0.5137660980253472,0.23577981651376145,0.8857816887540779,0.9311448373287262,False
MAPK14,5,0.4688073394495412,0.6052442438101148,0.23486238532110093,0.8882349369909969,0.9311448373287262,False
CHAC1,5,0.5192660550458715,0.5827818257662101,0.23119266055045873,0.8977902948452268,0.9366369902952607,False
MAX,5,0.4669724770642202,0.574346296976994,0.226605504587156,0.9091452953683633,0.941714488230357,False
RPA2,5,0.44495412844036697,0.6820660940527886,0.22568807339449543,0.9113366015132487,0.941714488230357,False
PLK1,5,0.501834862385321,0.455668880495168,0.2155963302752294,0.9336548904572367,0.9602043186218975,False
SIRT1,3,0.474006116207951,0.40524654948339,0.27064220183486243,0.946044623110542,0.9643932783492293,False
HDAC1,5,0.4862385321100917,0.5809053711185767,0.208256880733945,0.947800732144704,0.9643932783492293,False
MKI67,5,0.5339449541284403,0.4664117751776956,0.20642201834862386,0.9510606523812676,0.9643932783492293,False
HSP90AA1,5,0.44954128440366964,0.6041643627837142,0.19266055045871555,0.9737695583152005,0.9828278797879,False
MCM7,5,0.48348623853211004,0.5534359807293867,0.17339449541284402,0.99182197056017,0.9964137389423929,False
SQSTM1,5,0.5128440366972478,0.520643141711507,0.1559633027522936,0.9978921101640779,0.9978921101640779,False
