source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff
Astrocyte,Astrocyte,FN1,C5AR1,1.3628287,1.0,1.795788,-0.03785415503869485,-7.6341612827048255,0.052599978,0.68984425,0.04531935588737815,0.1052634609085594,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8947365390914406
Astrocyte,Microglia,CCL3,CCR5,1.3368406,1.0,1.5944533,0.27199080024620725,-355.6133732247793,0.06946464,0.67698157,0.09991418817539276,0.1068657844262389,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8931342155737612
Endothelial,Microglia,CCL4,CCR1,1.3666854,1.0,0.9959327,-0.054402463620918134,-inf,0.017556831,0.62354714,0.513034529792,0.11010338826729507,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.889896611732705
Pericyte,Microglia,CCL4,CCR5,1.2990648,1.0,1.5266173,0.22178899791020962,-inf,0.026257798,0.67220974,0.37840414239651754,0.1109196361543946,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8890803638456054
Astrocyte,Astrocyte,CCL3,CCR1,1.2943537,1.0,1.4435562,0.1669802585365482,-363.00028270329057,0.06445753,0.66601676,0.15704108527893182,0.11173861783900459,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8882613821609954
Microglia,Microglia,PSAP,GPR37L1,3.6039703,0.0,0.96404827,0.08770204902535413,-61.77880580627914,0.012378467,0.6197205,0.004496957498683738,0.11256034395865441,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8874396560413456
Microglia,Endothelial,TNF,FAS,1.2933493,0.0,1.5589476,0.5948801288815578,23.305386411745573,0.4062419,0.67451435,4.252623927120245e-05,0.11338478380265485,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8866152161973452
Pericyte,Endothelial,CCL2,ACKR1,1.2896587,1.0,1.6460493,-0.030469459462330914,29.349289657067033,0.06397545,0.68045384,0.04453615865983357,0.1150418472135077,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8849581527864923
Astrocyte,Microglia,CCL7,CCR1,1.2926381,0.0,0.9318179,0.08927105248455104,53.75119355151318,0.0877758,0.61570567,0.000544195584,0.11670976876146155,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8832902312385384
Microglia,Pericyte,PSAP,GPR37L1,3.6003482,0.0,0.9128192,0.08596860911404251,-59.729746002553306,0.0117206825,0.61326575,0.004996793344,0.12007815508019493,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8799218449198051
Pericyte,Astrocyte,CCL4,CCR1,1.2565778,1.0,1.38214,0.11677845620055055,-inf,0.024365097,0.66116405,0.4095255601280293,0.12092700012910118,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8790729998708988
Oligodendrocyte,Oligodendrocyte,PTN,SDC4,1.7478336,0.0,0.8877355,0.05766116078157914,-99.02195445737038,0.0189434,0.6099563,0.0048096750755334625,0.12263278902527827,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8773672109747217
