compound,gene,binding_probability
RSL3,TRIB3,0.4946695864200592
Fer-1,YAP1,0.4946673810482025
VC,TFRC,0.4946647584438324
RSL3,CHAC1,0.494662880897522
RSL3,GCLM,0.4946618378162384
BCP,NLRP3,0.4946604371070862
RSL3,TP53,0.4946596920490265
Lip-1,LOX,0.4946586787700653
VC,IGFBP7,0.4946548342704773
RSL3,VEGFA,0.49465349316596985
RSL3,DPP4,0.4946521520614624
DFO,MAP3K14,0.49465134739875793
DFO,SETD7,0.49465134739875793
BCP,PRKD1,0.49464958906173706
BCP,ACVR1B,0.49464544653892517
DFO,SNCA,0.4946449100971222
BCP,DYRK1A,0.49464479088783264
DFO,EDN1,0.4946446716785431
RSL3,PRKDC,0.49464333057403564
RSL3,BNIP3,0.49464306235313416
RSL3,CDKN2B,0.4946427047252655
BCP,SMARCB1,0.49464184045791626
Lip-1,MMP9,0.4946410655975342
DFO,MAPK1,0.4946390390396118
RSL3,SNAI1,0.4946368634700775
DFO,EGR1,0.49463319778442383
ML162,TFRC,0.4946326017379761
Erastin,E2F2,0.4946320950984955
Fer-1,LOX,0.4946317970752716
RSL3,HSP90AA1,0.4946316182613373
RSL3,FOXO1,0.4946311414241791
RSL3,PRKAA1,0.4946303367614746
Fer-1,E2F2,0.4946289360523224
RSL3,DDIT3,0.4946274757385254
RSL3,PRKAA2,0.49462589621543884
RSL3,PCNA,0.49462437629699707
Erastin,ATF3,0.4946241080760956
RSL3,BECN1,0.49462375044822693
RSL3,SESN2,0.49462321400642395
RSL3,BAP1,0.4946230351924896
RSL3,VDAC3,0.49462246894836426
RSL3,LPIN2,0.4946214258670807
RSL3,HSPB1,0.4946211278438568
Fer-1,BNIP3L,0.4946207106113434
RSL3,MYC,0.49462011456489563
RSL3,TNFRSF1A,0.4946192502975464
VC,SOD1,0.4946172833442688
DFO,SLC1A5,0.49461716413497925
BCP,EPHA2,0.4946168065071106
Erastin,LPCAT3,0.49461644887924194
RSL3,STEAP3,0.49461492896080017
RSL3,EP300,0.49461469054222107
DFO,ALOX15,0.4946134686470032
RSL3,CD38,0.49461308121681213
Erastin,CSE1L,0.4946116805076599
RSL3,COL1A1,0.49461039900779724
RSL3,RB1,0.49460718035697937
RSL3,HDAC1,0.4946061968803406
BCP,LGMN,0.49460485577583313
BCP,TXNIP,0.49460315704345703
RSL3,HSPD1,0.4946030378341675
BCP,FOSL1,0.4945995509624481
RSL3,EIF2A,0.49459895491600037
RSL3,GADD45A,0.4945988953113556
RSL3,RELA,0.4945981502532959
BCP,MCU,0.4945976734161377
VC,FTL,0.4945974349975586
ML162,KEAP1,0.494596391916275
RSL3,CDK2,0.4945956766605377
Lip-1,ATF3,0.4945946931838989
VC,KEAP1,0.49459418654441833
DFO,LIFR,0.49459394812583923
RSL3,PLIN2,0.4945938289165497
RSL3,CDKN2A,0.4945933520793915
Erastin,FTL,0.4945931136608124
Lip-1,BNIP3L,0.4945920705795288
Lip-1,CSE1L,0.4945915937423706
RSL3,IL18,0.4945908486843109
RSL3,SLC3A2,0.49459031224250793
BCP,NR1D1,0.4945901930332184
RSL3,GCLC,0.494589626789093
RSL3,ICAM1,0.49458909034729004
RSL3,SLC7A11,0.49458903074264526
ML162,LOX,0.4945886433124542
RSL3,CCL2,0.4945884048938751
RSL3,XRCC6,0.49458834528923035
RSL3,TERF2,0.49458786845207214
BCP,MPO,0.4945853650569916
Erastin,MCM5,0.4945850670337677
RSL3,IL10,0.4945848286151886
RSL3,CDKN1B,0.4945848286151886
VC,ATF3,0.49458473920822144
RSL3,PARP1,0.4945839047431946
Fer-1,TFRC,0.4945821464061737
RSL3,FANCD2,0.4945816993713379
RSL3,CCNE1,0.4945807456970215
BCP,FBXO31,0.4945778548717499
RSL3,ABCC2,0.494577020406723
DFO,DYRK1A,0.49457690119743347
Lip-1,LPCAT3,0.4945761561393738
RSL3,MAX,0.4945748746395111
RSL3,MMP12,0.4945746958255768
RSL3,HSPA5,0.4945741593837738
DFO,PRKD1,0.4945736527442932
VC,MKI67,0.494573175907135
RSL3,PTEN,0.49457287788391113
BCP,MAPK14,0.49457237124443054
RSL3,MNT,0.49457213282585144
RSL3,GOT1,0.49457213282585144
RSL3,HMGA1,0.4945712983608246
RSL3,CDK4,0.49457114934921265
ML162,SOD1,0.49457013607025146
Fer-1,IGFBP7,0.494568407535553
DFO,ACVR1B,0.49456787109375
VC,MCM5,0.4945678114891052
BCP,TLR4,0.4945668876171112
RSL3,TFAM,0.49456629157066345
RSL3,ATF4,0.4945659339427948
Erastin,MKI67,0.4945651888847351
RSL3,TIMP2,0.49456214904785156
DFO,SMARCB1,0.494559645652771
RSL3,NCOA4,0.49455806612968445
RSL3,SIRT6,0.49455684423446655
RSL3,AKT1,0.4945560395717621
RSL3,TSC2,0.4945560395717621
RSL3,JUN,0.4945550858974457
BCP,SOCS2,0.4945541024208069
RSL3,IL1A,0.494552880525589
BCP,TNFAIP1,0.4945520758628845
RSL3,TSC1,0.4945509135723114
VC,LPCAT3,0.49455031752586365
RSL3,SERPINE1,0.4945501983165741
RSL3,HDAC3,0.4945501387119293
RSL3,GADD45B,0.494549036026001
DFO,NLRP3,0.4945486783981323
RSL3,BRCA2,0.49454835057258606
RSL3,COL3A1,0.49454623460769653
RSL3,MDM4,0.4945453107357025
RSL3,CREBBP,0.49454519152641296
DFO,MCU,0.49454453587532043
RSL3,PPARGC1A,0.4945434331893921
RSL3,TERF1,0.4945434331893921
BCP,HMGB1,0.49454307556152344
BCP,CAVIN1,0.494540274143219
DFO,FOSL1,0.49453890323638916
RSL3,TERT,0.4945388436317444
DFO,EPHA2,0.4945351481437683
RSL3,FN1,0.49453386664390564
BCP,PDE4B,0.4945333003997803
RSL3,ATF2,0.4945297837257385
RSL3,CHEK1,0.4945297837257385
VC,CSE1L,0.494528204202652
RSL3,XRCC1,0.49452781677246094
RSL3,MAPK3,0.49452728033065796
RSL3,ATR,0.4945266544818878
DFO,LGMN,0.49452611804008484
RSL3,STAT3,0.49452605843544006
Lip-1,E2F2,0.4945254921913147
RSL3,HDAC2,0.4945245385169983
RSL3,JAK2,0.4945234954357147
VC,EBF3,0.4945228099822998
RSL3,RAD50,0.4945218563079834
BCP,SMURF2,0.4945211112499237
DFO,FBXO31,0.4945201873779297
Erastin,EBF3,0.49452000856399536
BCP,NOX4,0.49452000856399536
BCP,PPP2R2B,0.49451878666877747
Fer-1,SOD1,0.49451878666877747
BCP,EPHA4,0.4945184290409088
DFO,TXNIP,0.49451732635498047
RSL3,MMP3,0.49451568722724915
RSL3,MMP13,0.4945155084133148
RSL3,TNF,0.4945153295993805
Lip-1,FTL,0.49451497197151184
RSL3,MMP2,0.49451446533203125
RSL3,CCNA2,0.4945144057273865
RSL3,BLM,0.4945138096809387
