gene,embedding_norm,degree,bio_prior,hub_score,rank
MMP9,3.8289275,206,0.5,0.7030100455214108,41
LMNB1,3.8226318,204,0.5,0.7021479341053356,42
MTOR,3.8194182,204,0.5,0.7018924387955059,43
NFE2L2,3.8093896,198,0.5,0.6999889016743914,44
FOXO4,3.8091016,197,0.5,0.6997784084429731,45
NFKB1,3.8092763,196,0.5,0.6996037413743563,46
SIRT1,3.9844942,110,0.5,0.692171240100526,47
FOXO1,3.6988225,198,0.5,0.6911981702443377,48
MKI67,4.611074,190,0.3,0.6821995263452549,49
ADIPOQ,4.5803866,202,0.3,0.6820287987668069,50
TNF,3.5142481,211,0.5,0.6788800181215671,51
MCM2,4.4715314,209,0.3,0.6746366521643787,52
COL1A1,4.5053263,194,0.3,0.6745637945930743,53
BRCA2,4.5055814,193,0.3,0.674392596906149,54
CXCL1,4.471535,207,0.3,0.6742805585918317,55
SNAI1,4.5036635,189,0.3,0.6734642767615446,56
AURKA,4.457573,208,0.3,0.6733490888559734,57
MMP12,4.5033,182,0.3,0.6720375040925285,58
CSF2,4.433195,191,0.3,0.6682515651812861,59
BUB1,4.596758,130,0.3,0.6670191816814033,60
TERT,4.3725615,190,0.3,0.6632363682146092,61
CXCL2,4.3734035,189,0.3,0.663107850522531,62
RGS4,4.3589067,194,0.3,0.6629225604336046,63
HSPD1,4.3708606,189,0.3,0.6629056715674528,64
FN1,4.3589854,191,0.3,0.6623514802089046,65
CCNE1,4.315445,207,0.3,0.6618705139217267,66
RAD50,4.3152485,205,0.3,0.6614950627465948,67
COL1A2,4.3484645,159,0.3,0.6547254207739159,68
MMP2,4.2108617,207,0.3,0.6535555169639478,69
RFC3,4.200806,206,0.3,0.6525765719343747,70
MAPK8,4.507153,101,0.3,0.6505768142732536,71
ICAM1,4.1779804,193,0.3,0.6483464102205868,72
SERPINE1,4.1724086,191,0.3,0.6475175232520411,73
HMGA2,4.1107516,207,0.3,0.6455961809215436,74
MMP10,4.110747,206,0.3,0.6454163255621518,75
TRIB3,4.1080985,205,0.3,0.6450254351278051,76
ABCC2,4.0532317,214,0.3,0.6422556408496048,77
CCL3,4.0671864,206,0.3,0.6419529976774777,78
GADD45B,4.0560045,205,0.3,0.6408836573739751,79
CDK2,4.0436225,206,0.3,0.6400795640875424,80
ALOX12,4.0256906,213,0.3,0.6398923338691223,81
MCM6,4.041224,205,0.3,0.6397085219999059,82
IGFBP3,4.0648947,191,0.3,0.6389695317378352,83
CCNA2,4.0648923,191,0.3,0.6389693231215785,84
RFC4,4.064894,190,0.3,0.6387750392313023,85
BLM,4.020687,208,0.3,0.6386141244852459,86
XRCC6,4.0412316,191,0.3,0.6370881707301448,87
CDKN2B,4.041221,191,0.3,0.6370873362651179,88
BNIP3,4.0412326,190,0.3,0.6368937974329014,89
HMGA1,4.0412292,190,0.3,0.6368935292119999,90
PTEN,4.04123,189,0.3,0.6366981053061613,91
CREBBP,4.0412292,189,0.3,0.6366980457015166,92
BNIP3L,3.9906,205,0.3,0.6356836289544805,93
GABARAP,3.9905186,204,0.3,0.6354959174656262,94
BRD4,3.9759908,208,0.3,0.6350604955637371,95
RPA1,3.9773047,206,0.3,0.634806907408389,96
MCM5,3.9759827,204,0.3,0.6343402430080761,97
ATR,3.976078,203,0.3,0.6341657120769877,98
MMP3,3.9918518,190,0.3,0.6329677288885136,99
MYC,3.976073,195,0.3,0.6326755450589826,100
SELE,3.9905162,189,0.3,0.6326660597033629,101
SLC40A1,3.976019,191,0.3,0.6319034010997127,102
RPA3,3.9772978,189,0.3,0.6316151106066832,103
RPS6KB1,3.9760725,189,0.3,0.6315177166171202,104
LPIN2,3.9760714,189,0.3,0.631517627210153,105
GABARAPL1,3.9759872,189,0.3,0.6315109216876158,106
SQSTM1,3.9782584,188,0.3,0.6314949788684511,107
TNFRSF1A,3.9325778,190,0.3,0.6282550876493473,108
IL1A,4.48192,54,0.3,0.6255700060582668,109
GPX4,3.8364449,210,0.3,0.6243204710013477,110
ATF4,3.8291457,209,0.3,0.6235632201956898,111
STAT3,3.8291447,209,0.3,0.6235631307887226,112
CREB1,3.8194752,211,0.3,0.62314733398613,113
JUN,3.8226278,209,0.3,0.6230450174140125,114
VDAC2,3.8291461,206,0.3,0.6230274202753628,115
AKT1,3.8194182,210,0.3,0.622966730309209,116
LIG1,3.8289285,205,0.3,0.6228297979017003,117
LPIN1,3.8289266,205,0.3,0.622829619087766,118
IL10,3.8289247,205,0.3,0.6228294700761541,119
NCOA4,3.828927,204,0.3,0.622648464109837,120
CD38,3.8289268,204,0.3,0.6226484343075146,121
PLIN2,3.828927,203,0.3,0.6224663633888621,122
MAPK3,3.8289275,202,0.3,0.6222833976227792,123
CDKN1B,3.8289237,202,0.3,0.6222830995995553,124
VDAC3,3.8194778,206,0.3,0.622258728974017,125
BRCA1,3.8194191,206,0.3,0.6222540798117245,126
PRKDC,3.8194182,206,0.3,0.6222539904047574,127
CD8A,3.8194191,205,0.3,0.6220737427850469,128
HSP90AA1,3.8194177,205,0.3,0.6220736235757574,129
RFC2,3.8286011,201,0.3,0.6220735405460911,130
EP300,3.8194156,205,0.3,0.622073444761823,131
BECN1,3.819415,205,0.3,0.6220734149595006,132
CSE1L,3.8194566,204,0.3,0.6218955084347119,133
E2F2,3.8194222,204,0.3,0.6218927666210522,134
IL18,3.819422,204,0.3,0.6218927368187298,135
SLC3A2,3.8194218,204,0.3,0.6218927368187298,136
HDAC1,3.81942,204,0.3,0.6218925878071179,137
MAP1LC3A,3.8194191,204,0.3,0.6218925282024731,138
HDAC3,3.8194175,204,0.3,0.6218923791908612,139
CBS,3.8194146,204,0.3,0.6218921705746044,140
RFC1,3.8194232,203,0.3,0.6217107255047221,141
TIMP2,3.8194213,203,0.3,0.6217105764931101,142
MCM4,3.8194208,203,0.3,0.6217105466907877,143
RPA2,3.8194187,203,0.3,0.6217103678768534,144
LIG3,3.819417,203,0.3,0.6217102486675639,145
ATG7,3.819417,203,0.3,0.6217102486675639,146
HSPA5,3.8194168,203,0.3,0.6217102188652415,147
