compound,chebi_id,chebi_name,chebi_star,smiles,inchikey,formula,exact_mass,molecular_weight,charge,match_method,source,download_date
Physcion,CHEBI:38167,physcion,3.0,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,FFWOKTFYGVYKIR-UHFFFAOYSA-N,C16H12O5,284.068473,284.267,,name_exact,ChEBI,2026-06-21
Pinocembrin,CHEBI:28157,pinocembrin,3.0,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,URFCJEUYXNAHFI-ZDUSSCGKSA-N,C15H12O4,256.073559,256.257,,name_exact,ChEBI,2026-06-21
Plumbagin,CHEBI:8273,plumbagin,3.0,CC1=CC(=O)c2c(O)cccc2C1=O,VCMMXZQDRFWYSE-UHFFFAOYSA-N,C11H8O3,188.047344,188.182,,name_exact,ChEBI,2026-06-21
Quercetin,CHEBI:16243,quercetin,3.0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,C15H10O7,302.042653,302.238,,name_exact,ChEBI,2026-06-21
RSL3,CHEBI:173109,RSL3,3.0,COC(=O)c1ccc([C@H]2C3Nc4ccccc4C3C[C@H](C(=O)OC)N2C(=O)CCl)cc1,CKRZDIUOUCGSBK-YBKKDXPLSA-N,C23H23ClN2O5,442.12955,442.899,,name_exact,ChEBI,2026-06-21
Resveratrol,CHEBI:27881,resveratrol,3.0,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,C14H12O3,228.078644,228.247,,name_exact,ChEBI,2026-06-21
Salidroside,,,,,,,,,,,ChEBI,2026-06-21
Schisandrin,CHEBI:132471,(+)-schisandrin B,3.0,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@H](C)C2,RTZKSTLPRTWFEV-OLZOCXBDSA-N,C23H28O6,400.188589,400.471,,name_similar,ChEBI,2026-06-21
Schisandrin B,CHEBI:132471,(+)-schisandrin B,3.0,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@H](C)C2,RTZKSTLPRTWFEV-OLZOCXBDSA-N,C23H28O6,400.188589,400.471,,name_exact,ChEBI,2026-06-21
Scutellarein,CHEBI:9062,scutellarein,3.0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,JVXZRQGOGOXCEC-UHFFFAOYSA-N,C15H10O6,286.047738,286.239,,name_exact,ChEBI,2026-06-21
Shikonin,,,,,,,,,,,ChEBI,2026-06-21
Sulforaphane,CHEBI:47807,sulforaphane,3.0,CS(=O)CCCCN=C=S,SUVMJBTUFCVSAD-UHFFFAOYSA-N,C6H11NOS2,177.028206,177.294,,name_exact,ChEBI,2026-06-21
Tangeretin,CHEBI:9400,tangeretin,3.0,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,ULSUXBXHSYSGDT-UHFFFAOYSA-N,C20H20O7,372.120903,372.373,,name_exact,ChEBI,2026-06-21
Tanshinone IIA,,,,,,,,,,,ChEBI,2026-06-21
Tetramethylpyrazine,CHEBI:133246,tetramethylpyrazine,3.0,Cc1nc(C)c(C)nc1C,FINHMKGKINIASC-UHFFFAOYSA-N,C8H12N2,136.100048,136.198,,name_exact,ChEBI,2026-06-21
Tyrosol,CHEBI:1879,2-(4-hydroxyphenyl)ethanol,3.0,OCCc1ccc(O)cc1,YCCILVSKPBXVIP-UHFFFAOYSA-N,C8H10O2,138.06808,138.166,,inchikey,ChEBI,2026-06-21
VC,CHEBI:138485,beta-L-idofuranose,3.0,OC[C@H](O)[C@H]1O[C@H](O)[C@H](O)[C@H]1O,AVVWPBAENSWJCB-BSQWINAVSA-N,C6H12O6,180.063388,180.156,,inchikey,ChEBI,2026-06-21
Wogonin,CHEBI:10043,wogonin,3.0,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,XLTFNNCXVBYBSX-UHFFFAOYSA-N,C16H12O5,284.068473,284.267,,name_exact,ChEBI,2026-06-21
