compound,cid,MW,LogP,HBD,HBA,TPSA,RotB,SMILES,IUPACName,MolecularFormula,source,molecular_weight,xlogp,hbd,hba,tpsa,rotbonds
Shikonin,479503,288.29,3.0,3,5,94.8,3,CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C,"5,8-dihydroxy-2-[(1R)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione",C16H16O5,Lithospermum erythrorhizon (Zicao),288.29,3.0,3,5,94.8,3
Plumbagin,10205,188.18,2.3,1,3,54.4,0,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,"5-hydroxy-2-methylnaphthalene-1,4-dione",C11H8O3,Plumbago zeylanica (Baihua Dan),188.18,2.3,1,3,54.4,0
Emodin,3220,270.24,2.7,3,5,94.8,0,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,"1,3,8-trihydroxy-6-methylanthracene-9,10-dione",C15H10O5,Rheum palmatum (Dahuang),270.24,2.7,3,5,94.8,0
Aloe emodin,10207,270.24,1.8,3,5,94.8,1,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,"1,8-dihydroxy-3-(hydroxymethyl)anthracene-9,10-dione",C15H10O5,Aloe vera / Rheum,270.24,1.8,3,5,94.8,1
Physcion,10639,284.26,3.0,2,5,83.8,1,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,"1,8-dihydroxy-3-methoxy-6-methylanthracene-9,10-dione",C16H12O5,Rheum palmatum,284.26,3.0,2,5,83.8,1
Chrysophanol,10208,254.24,3.5,2,4,74.6,0,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,"1,8-dihydroxy-3-methylanthracene-9,10-dione",C15H10O4,Rheum palmatum,254.24,3.5,2,4,74.6,0
Salidroside,159278,300.30,-0.6,5,7,120.0,5,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[2-(4-hydroxyphenyl)ethoxy]oxane-3,4,5-triol",C14H20O7,Rhodiola rosea (Hongjingtian),300.30,-0.6,5,7,120.0,5
Tyrosol,10393,138.16,0.4,2,2,40.5,2,C1=CC(=CC=C1CCO)O,4-(2-hydroxyethyl)phenol,C8H10O2,Olea europaea / Rhodiola,138.16,0.4,2,2,40.5,2
Hydroxytyrosol,82755,154.16,-0.7,3,3,60.7,2,C1=CC(=C(C=C1CCO)O)O,"4-(2-hydroxyethyl)benzene-1,2-diol",C8H10O3,Olea europaea (Ganlan),154.16,-0.7,3,3,60.7,2
Sulforaphane,5350,177.3,1.4,0,4,80.7,5,CS(=O)CCCCN=C=S,1-isothiocyanato-4-methylsulfinylbutane,C6H11NOS2,Brassica oleracea / Wasabia,177.3,1.4,0,4,80.7,5
Dimethyl fumarate,637568,144.12,0.7,0,4,52.6,4,COC(=O)/C=C/C(=O)OC,dimethyl (E)-but-2-enedioate,C6H8O4,Synthetic / Fumaria,144.12,0.7,0,4,52.6,4
Edaravone,4021,174.20,1.3,0,2,32.7,1,CC1=NN(C(=O)C1)C2=CC=CC=C2,5-methyl-2-phenyl-4H-pyrazol-3-one,C10H10N2O,Synthetic,174.20,1.3,0,2,32.7,1
Idebenone,3686,338.4,4.3,1,5,72.8,12,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,"2-(10-hydroxydecyl)-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",C19H30O5,Synthetic (CoQ10 analog),338.4,4.3,1,5,72.8,12
Alpha-lipoic acid,864,206.3,1.7,1,4,87.9,5,C1CSSC1CCCCC(=O)O,5-(dithiolan-3-yl)pentanoic acid,C8H14O2S2,Synthetic / endogenous,206.3,1.7,1,4,87.9,5
Melatonin,896,232.28,0.8,2,2,54.1,4,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,C13H16N2O2,Pineal / endogenous,232.28,0.8,2,2,54.1,4
Huperzine A,854026,242.32,0.0,2,2,55.1,0,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,"(1R,9R,13E)-1-amino-13-ethylidene-11-methyl-6-azatricyclo[7.3.1.02,7]trideca-2(7),3,10-trien-5-one",C15H18N2O,Huperzia serrata (QianCengTa),242.32,0.0,2,2,55.1,0
N-acetylcysteine,12035,163.20,0.4,3,4,67.4,3,CC(=O)N[C@@H](CS)C(=O)O,(2R)-2-acetamido-3-sulfanylpropanoic acid,C5H9NO3S,Synthetic / precursor,163.20,0.4,3,4,67.4,3
