ligand,receptor,pathway,source
WNT10A,FZD3_LRP6,WNT,CellChatDB
WNT10A,FZD4_LRP6,WNT,CellChatDB
WNT10A,FZD5_LRP6,WNT,CellChatDB
WNT10A,FZD6_LRP6,WNT,CellChatDB
WNT10A,FZD7_LRP6,WNT,CellChatDB
WNT10A,FZD8_LRP6,WNT,CellChatDB
WNT10A,FZD9_LRP6,WNT,CellChatDB
WNT10B,FZD1_LRP6,WNT,CellChatDB
WNT10B,FZD10_LRP6,WNT,CellChatDB
WNT10B,FZD2_LRP6,WNT,CellChatDB
WNT10B,FZD3_LRP6,WNT,CellChatDB
WNT10B,FZD4_LRP6,WNT,CellChatDB
WNT10B,FZD5_LRP6,WNT,CellChatDB
WNT10B,FZD6_LRP6,WNT,CellChatDB
WNT10B,FZD7_LRP6,WNT,CellChatDB
WNT10B,FZD8_LRP6,WNT,CellChatDB
WNT10B,FZD9_LRP6,WNT,CellChatDB
WNT16,FZD1_LRP6,WNT,CellChatDB
WNT16,FZD10_LRP6,WNT,CellChatDB
WNT16,FZD2_LRP6,WNT,CellChatDB
WNT16,FZD3_LRP6,WNT,CellChatDB
WNT16,FZD4_LRP6,WNT,CellChatDB
WNT16,FZD5_LRP6,WNT,CellChatDB
WNT16,FZD6_LRP6,WNT,CellChatDB
WNT16,FZD7_LRP6,WNT,CellChatDB
WNT16,FZD8_LRP6,WNT,CellChatDB
WNT16,FZD9_LRP6,WNT,CellChatDB
WNT2,FZD1_LRP6,WNT,CellChatDB
WNT2,FZD10_LRP6,WNT,CellChatDB
WNT2,FZD2_LRP6,WNT,CellChatDB
WNT2,FZD3_LRP6,WNT,CellChatDB
WNT2,FZD4_LRP6,WNT,CellChatDB
WNT2,FZD5_LRP6,WNT,CellChatDB
WNT2,FZD6_LRP6,WNT,CellChatDB
WNT2,FZD7_LRP6,WNT,CellChatDB
WNT2,FZD8_LRP6,WNT,CellChatDB
WNT2,FZD9_LRP6,WNT,CellChatDB
WNT2B,FZD1_LRP6,WNT,CellChatDB
WNT2B,FZD10_LRP6,WNT,CellChatDB
WNT2B,FZD2_LRP6,WNT,CellChatDB
WNT2B,FZD3_LRP6,WNT,CellChatDB
WNT2B,FZD4_LRP6,WNT,CellChatDB
WNT2B,FZD5_LRP6,WNT,CellChatDB
WNT2B,FZD6_LRP6,WNT,CellChatDB
WNT2B,FZD7_LRP6,WNT,CellChatDB
WNT2B,FZD8_LRP6,WNT,CellChatDB
WNT2B,FZD9_LRP6,WNT,CellChatDB
WNT3,FZD1_LRP6,WNT,CellChatDB
WNT3,FZD10_LRP6,WNT,CellChatDB
WNT3,FZD2_LRP6,WNT,CellChatDB
WNT3,FZD3_LRP6,WNT,CellChatDB
