compound,gene,source,confidence,confidence_level,download_date
Fer-1,LPCAT3,curated,0.95,high,2026-06-21
Fer-1,MAPK1,curated,0.95,high,2026-06-21
Fer-1,MAPK14,curated,0.95,high,2026-06-21
Fer-1,MAPK3,curated,0.95,high,2026-06-21
Fer-1,MTOR,curated,0.95,high,2026-06-21
Fer-1,NCOA4,curated,0.95,high,2026-06-21
Fer-1,NFE2L2,curated,0.95,high,2026-06-21
Fer-1,NLRP3,curated,0.95,high,2026-06-21
Fer-1,NQO1,curated,0.95,high,2026-06-21
Fer-1,PTGS2,curated,0.95,high,2026-06-21
Fer-1,SAT1,curated,0.95,high,2026-06-21
Fer-1,SESN2,curated,0.95,high,2026-06-21
Fer-1,SIRT1,curated,0.95,high,2026-06-21
Fer-1,SLC40A1,curated,0.95,high,2026-06-21
Fer-1,SLC7A11,curated,0.95,high,2026-06-21
Fer-1,SOD1,curated,0.95,high,2026-06-21
Fer-1,SOD2,curated,0.95,high,2026-06-21
Fer-1,SQSTM1,curated,0.95,high,2026-06-21
Fer-1,STAT3,curated,0.95,high,2026-06-21
Fer-1,STEAP3,curated,0.95,high,2026-06-21
Fer-1,TFRC,curated,0.95,high,2026-06-21
Fer-1,TNF,curated,0.95,high,2026-06-21
Fer-1,TP53,curated,0.95,high,2026-06-21
Fer-1,TXNIP,curated,0.95,high,2026-06-21
Fer-1,VDAC1,curated,0.95,high,2026-06-21
Fer-1,VDAC2,curated,0.95,high,2026-06-21
Quercetin,ABCC1,curated,0.95,high,2026-06-21
Quercetin,ACSL4,curated,0.95,high,2026-06-21
Quercetin,AKT1,curated,0.95,high,2026-06-21
Quercetin,BCL2,curated,0.95,high,2026-06-21
Quercetin,CD38,curated,0.95,high,2026-06-21
Quercetin,CDKN1A,curated,0.95,high,2026-06-21
Quercetin,CDKN2A,curated,0.95,high,2026-06-21
Quercetin,CYP1B1,curated,0.95,high,2026-06-21
Quercetin,EGFR,curated,0.95,high,2026-06-21
Quercetin,FTH1,curated,0.95,high,2026-06-21
Quercetin,GCLC,curated,0.95,high,2026-06-21
Quercetin,GPX4,curated,0.95,high,2026-06-21
Quercetin,HIF1A,curated,0.95,high,2026-06-21
Quercetin,HMOX1,curated,0.95,high,2026-06-21
Quercetin,IGF1R,curated,0.95,high,2026-06-21
Quercetin,IGFBP7,curated,0.95,high,2026-06-21
Quercetin,IL1B,curated,0.95,high,2026-06-21
Quercetin,IL6,curated,0.95,high,2026-06-21
Quercetin,KEAP1,curated,0.95,high,2026-06-21
Quercetin,MAPK1,curated,0.95,high,2026-06-21
Quercetin,MAPK14,curated,0.95,high,2026-06-21
Quercetin,MAPK3,curated,0.95,high,2026-06-21
Quercetin,MAPK8,curated,0.95,high,2026-06-21
Quercetin,MTOR,curated,0.95,high,2026-06-21
Quercetin,NFE2L2,curated,0.95,high,2026-06-21
Quercetin,NQO1,curated,0.95,high,2026-06-21
Quercetin,PPARGC1A,curated,0.95,high,2026-06-21
Quercetin,PRKAA1,curated,0.95,high,2026-06-21
Quercetin,PRKAA2,curated,0.95,high,2026-06-21
Quercetin,PTGS2,curated,0.95,high,2026-06-21
