disease,gene,score,efo_id,disease_name,target_name
CIRI,IGF2BP2,0.31449702479814357,EFO_0003763,CIRI_cerebrovascular_disorder,insulin like growth factor 2 mRNA binding protein 2
CIRI,ZNF536,0.314489947083132,EFO_0003763,CIRI_cerebrovascular_disorder,zinc finger protein 536
CIRI,GNA14,0.314489947083132,EFO_0003763,CIRI_cerebrovascular_disorder,G protein subunit alpha 14
CIRI,CA12,0.31427120282042875,EFO_0003763,CIRI_cerebrovascular_disorder,carbonic anhydrase 12
CIRI,CCER1,0.31415224748074766,EFO_0003763,CIRI_cerebrovascular_disorder,coiled-coil glutamate rich protein 1
CIRI,TSKU,0.31395594413374556,EFO_0003763,CIRI_cerebrovascular_disorder,"tsukushi, small leucine rich proteoglycan"
CIRI,TMC5,0.31342492668675387,EFO_0003763,CIRI_cerebrovascular_disorder,transmembrane channel like 5
CIRI,TBX5,0.31341876817387454,EFO_0000712,CIRI_stroke,T-box transcription factor 5
CIRI,RPL19,0.31328030842911175,EFO_0003763,CIRI_cerebrovascular_disorder,ribosomal protein L19
CIRI,CNNM2,0.31225240943253624,EFO_0003763,CIRI_cerebrovascular_disorder,cyclin and CBS domain divalent metal cation transport mediator 2
CIRI,MEST,0.3111956246801461,EFO_0003763,CIRI_cerebrovascular_disorder,mesoderm specific transcript
CIRI,PRR5L,0.3111819338580403,EFO_0003763,CIRI_cerebrovascular_disorder,proline rich 5 like
CIRI,PAX5,0.3108343179150029,EFO_0003763,CIRI_cerebrovascular_disorder,paired box 5
CIRI,KCNJ5,0.310304531606653,EFO_0003763,CIRI_cerebrovascular_disorder,potassium inwardly rectifying channel subfamily J member 5
CIRI,SLC44A2,0.3102053061765743,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier family 44 member 2 (CTL2 blood group)
CIRI,ATG7,0.31003617018003266,EFO_0003763,CIRI_cerebrovascular_disorder,autophagy related 7
CIRI,MARCHF1,0.31001887208574164,EFO_0000712,CIRI_stroke,membrane associated ring-CH-type finger 1
CIRI,CCNE1,0.3098991269568368,EFO_0003763,CIRI_cerebrovascular_disorder,cyclin E1
CIRI,SRP72,0.3096661344094587,EFO_0003763,CIRI_cerebrovascular_disorder,signal recognition particle 72
CIRI,PIAS2,0.30930567442661927,EFO_0003763,CIRI_cerebrovascular_disorder,protein inhibitor of activated STAT 2
CIRI,TNFSF12,0.3085212274662918,EFO_0003763,CIRI_cerebrovascular_disorder,TNF superfamily member 12
CIRI,GSG1,0.3083596088803961,EFO_0003763,CIRI_cerebrovascular_disorder,germ cell associated 1
CIRI,RETREG1,0.3081547790009006,EFO_0003763,CIRI_cerebrovascular_disorder,reticulophagy regulator 1
CIRI,DHODH,0.307923035768857,EFO_0003763,CIRI_cerebrovascular_disorder,dihydroorotate dehydrogenase (quinone)
CIRI,PLCB2,0.3078790494373991,EFO_0000712,CIRI_stroke,phospholipase C beta 2
CIRI,SCN8A,0.30755803022479,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 8
CIRI,ANO2,0.3075461339347438,EFO_0003763,CIRI_cerebrovascular_disorder,anoctamin 2
CIRI,ARL5B,0.3075461339347438,EFO_0003763,CIRI_cerebrovascular_disorder,ARF like GTPase 5B
CIRI,NXPH1,0.3075461339347438,EFO_0003763,CIRI_cerebrovascular_disorder,neurexophilin 1
CIRI,R3HCC1L,0.30739586256813495,EFO_0003763,CIRI_cerebrovascular_disorder,R3H domain and coiled-coil containing 1 like
CIRI,BGLAP,0.3067961732086419,EFO_0003763,CIRI_cerebrovascular_disorder,bone gamma-carboxyglutamate protein
CIRI,RPH3A,0.30641984160839236,EFO_0003763,CIRI_cerebrovascular_disorder,rabphilin 3A
CIRI,SCN3A,0.3058006361479404,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 3
CIRI,MIPEP,0.30575954222879614,EFO_0003763,CIRI_cerebrovascular_disorder,mitochondrial intermediate peptidase
CIRI,HS3ST1,0.30552771244304966,EFO_0003763,CIRI_cerebrovascular_disorder,heparan sulfate-glucosamine 3-sulfotransferase 1
CIRI,PLPP3,0.30543924904922987,EFO_0003763,CIRI_cerebrovascular_disorder,phospholipid phosphatase 3
CIRI,PLEKHM3,0.30538701528972745,EFO_0003763,CIRI_cerebrovascular_disorder,pleckstrin homology domain containing M3
CIRI,CAMK1D,0.3052324510848919,EFO_0003763,CIRI_cerebrovascular_disorder,calcium/calmodulin dependent protein kinase ID
CIRI,SMPDL3B,0.3047831431957835,EFO_0003763,CIRI_cerebrovascular_disorder,sphingomyelin phosphodiesterase acid like 3B
CIRI,TM4SF4,0.30476922107258014,EFO_0000712,CIRI_stroke,transmembrane 4 L six family member 4
CIRI,AOPEP,0.304142368562667,EFO_0003763,CIRI_cerebrovascular_disorder,aminopeptidase O (putative)
CIRI,SLC24A2,0.30412621976040344,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier family 24 member 2
CIRI,CWC27,0.3038812892022012,EFO_0003763,CIRI_cerebrovascular_disorder,CWC27 spliceosome associated cyclophilin
CIRI,CHRNA1,0.3033164511755213,EFO_0003763,CIRI_cerebrovascular_disorder,cholinergic receptor nicotinic alpha 1 subunit
CIRI,CDKAL1,0.3032696850429971,EFO_0000712,CIRI_stroke,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase
CIRI,SLC22A3,0.3032657783038215,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier family 22 member 3
CIRI,PCYOX1L,0.3030096585520287,EFO_0003763,CIRI_cerebrovascular_disorder,prenylcysteine oxidase 1 like
CIRI,HDAC4,0.3026535342477627,EFO_0003763,CIRI_cerebrovascular_disorder,histone deacetylase 4
CIRI,SCN2A,0.30227860808105994,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 2
CIRI,SDK2,0.3017350353039424,EFO_0003763,CIRI_cerebrovascular_disorder,sidekick cell adhesion molecule 2
CIRI,MSH6,0.30148531717594435,EFO_0003763,CIRI_cerebrovascular_disorder,mutS homolog 6
CIRI,PSEN1,0.30133264453935016,EFO_0003763,CIRI_cerebrovascular_disorder,presenilin 1
CIRI,SCN5A,0.30130960506696375,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 5
