mirna,gene,support_type,source,score,confidence,confidence_level,download_date
hsa-miR-144-3p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-145-3p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-145-5p,ABCC1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-145-5p,E2F3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-145-5p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-145-5p,STAT1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-145-5p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-146a-3p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-146a-5p,IL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-146a-5p,STAT1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-146a-5p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-146a-5p,TXNIP,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-146b-5p,IL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-146b-5p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-148a-3p,KLF6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-148a-3p,RUNX3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-149-3p,E2F1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-149-5p,IL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-149-5p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-150-5p,BAP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-150-5p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-150-5p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-152-3p,KLF6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-152-5p,TXNIP,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-153-3p,HMGB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
