compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Curcumin,POTASSIUM CHANNEL SUBFAMILY K MEMBER 2,CHEMBL1075183,CHEMBL140,IC50,930.0,nM,6.03,ChEMBL
Curcumin,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY H MEMBER 2,CHEMBL240,CHEMBL140,Potency,3162.3,nM,,ChEMBL
Curcumin,PP60C-SRC,CHEMBL3074,CHEMBL140,IC50,2200.0,nM,5.66,ChEMBL
Curcumin,PREA4,CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,PRECURSOR,CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,PRELAMIN-A/C,CHEMBL1293235,CHEMBL140,Potency,1778.3,nM,5.75,ChEMBL
Curcumin,PRKCE,CHEMBL3582,CHEMBL140,EC50,8810.0,nM,5.05,ChEMBL
Curcumin,PROSTAGLANDIN,CHEMBL5658,CHEMBL140,IC50,600.0,nM,6.22,ChEMBL
Curcumin,PROSTAGLANDIN E SYNTHASE,CHEMBL5658,CHEMBL140,IC50,600.0,nM,6.22,ChEMBL
Curcumin,PROSTAGLANDIN G/H SYNTHASE 1,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PROSTAGLANDIN G/H SYNTHASE 2,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PROSTAGLANDIN H2 SYNTHASE 1,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PROSTAGLANDIN H2 SYNTHASE 2,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PROSTAGLANDIN-ENDOPEROXIDE SYNTHASE 1,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PROSTAGLANDIN-ENDOPEROXIDE SYNTHASE 2,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PROTEASE,CHEMBL4188,CHEMBL140,IC50,7750.0,nM,5.11,ChEMBL
Curcumin,PROTEASE NEXIN-II,CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,PROTEASOME,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PROTEASOME CHAIN 6,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PROTEASOME EPSILON CHAIN,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PROTEASOME SUBUNIT BETA TYPE-5,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PROTEASOME SUBUNIT BETA-5,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PROTEASOME SUBUNIT MB1,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PROTEASOME SUBUNIT X,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PROTEIN,CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,PROTEIN 2-HYDROXYISOBUTYRYLTRANSFERASE P300,CHEMBL3784,CHEMBL140,IC50,6500.0,nM,5.19,ChEMBL
Curcumin,PROTEIN C-FOS,CHEMBL2111421,CHEMBL140,IC50,6.9,nM,8.16,ChEMBL
Curcumin,PROTEIN DEACETYLASE HDAC1,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN DEACETYLASE HDAC3,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
