,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
E2F3,-0.055644494,-0.12893969,-0.2607418,0.058857083,0.11916911,-0.21235228,0.12861905,0.2294769,-0.24199548,0.26162237,-0.01727096,0.1730016,0.101014435,0.28635132,-0.0011262894,-0.31899068
EBF3,0.079141565,0.10269338,-0.20516896,0.21850705,0.31967366,-0.17918336,0.097824045,-0.14777578,-0.43900466,0.26454806,0.30959994,0.3685407,-0.07929422,0.5010102,0.053590775,-0.25801125
EDN1,-0.04991785,-0.13266164,-0.26778302,0.037205964,0.11227625,-0.20177442,0.12994906,0.22248888,-0.2424596,0.24985147,-0.035228997,0.15394382,0.09493749,0.2959336,-0.0017534196,-0.33190086
EGR1,-0.04977426,-0.13175225,-0.2669481,0.03829853,0.11228027,-0.20251517,0.13062012,0.22274527,-0.24158642,0.25022423,-0.033605367,0.15472788,0.09393231,0.29531533,-0.0018174946,-0.33103693
EIF2A,0.12779504,0.1278243,-0.18490417,0.23327473,0.34414816,-0.18894576,0.11644571,-0.20103627,-0.44577938,0.2597574,0.33046103,0.36808938,-0.1453426,0.543711,0.042174026,-0.26406848
EIF2AK3,0.12206769,0.13470548,-0.18493906,0.238752,0.34520262,-0.18944143,0.114113845,-0.20211187,-0.4447048,0.26648697,0.33430386,0.3709738,-0.14428304,0.5404314,0.045603283,-0.26545554
EMP1,0.11939549,0.11565886,-0.18889792,0.23250952,0.34129593,-0.18911195,0.11427962,-0.18286026,-0.44526303,0.2606409,0.32240927,0.36898753,-0.12652634,0.5328145,0.039500646,-0.2579612
EP300,0.14232886,0.14629003,-0.177862,0.2327455,0.35010678,-0.18647797,0.120190814,-0.23062298,-0.447077,0.26338544,0.3382008,0.36442178,-0.17193931,0.55947673,0.04633625,-0.2750982
EPHA2,-0.055454284,-0.13672781,-0.26342124,0.038488727,0.10503506,-0.20912337,0.13001233,0.23252818,-0.23367923,0.25136313,-0.03368783,0.155788,0.096294045,0.2871461,0.00060912967,-0.3305983
EPHA4,-0.029059218,-0.111845635,-0.27463508,0.03419456,0.13432273,-0.17896782,0.12938374,0.1783863,-0.27255818,0.23777847,-0.0177586,0.15866284,0.081493884,0.32686198,-0.0018776357,-0.3276703
ERN1,-0.07024488,-0.12747538,-0.2569307,0.07088546,0.11792069,-0.21985027,0.1259971,0.24322572,-0.2355029,0.27167654,-0.014876619,0.17761338,0.11159971,0.26919216,0.0018934086,-0.31085145
FABP5,0.15924808,0.16727644,-0.17915954,0.21801962,0.35365406,-0.17546326,0.12348318,-0.2706329,-0.45074457,0.25665152,0.32778412,0.3402785,-0.20821057,0.5868495,0.049498834,-0.30003577
FANCD2,0.13474497,0.13576272,-0.18241483,0.23343834,0.3483585,-0.18738501,0.11853652,-0.21378711,-0.44643623,0.26429254,0.3293814,0.3641051,-0.15627158,0.55069625,0.042538755,-0.27083346
FBXL5,0.13325363,0.1353163,-0.18301593,0.23281074,0.34708154,-0.18716374,0.11821293,-0.21229294,-0.44635755,0.2617957,0.33071762,0.36451265,-0.15532622,0.54972684,0.042957112,-0.26903385
FBXO31,-0.06322555,-0.14399976,-0.261749,0.046185445,0.10311148,-0.21761933,0.13090205,0.25094077,-0.22629513,0.257859,-0.04012601,0.15608504,0.1052547,0.2746412,-0.0032361597,-0.32621634
FN1,0.15121108,0.16863042,-0.17178118,0.23080364,0.35365477,-0.18505095,0.122683726,-0.26100037,-0.44340312,0.2705459,0.33323747,0.34836885,-0.20257337,0.5733473,0.05216092,-0.2951207
FOS,0.11409685,0.117441095,-0.18657076,0.23910218,0.3410921,-0.19251102,0.112570144,-0.17825806,-0.44246483,0.26907015,0.3282861,0.37640753,-0.12149282,0.52600217,0.04227647,-0.25628147
FOSL1,-0.051221777,-0.1307793,-0.2650441,0.044306315,0.11351356,-0.20593947,0.12961105,0.22385469,-0.24203879,0.25136876,-0.025341406,0.16222264,0.09465,0.2939863,-0.0008416623,-0.32711154
