,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Oligodendrocyte_differentiation,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Microglia_activation,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Astrocyte_reactivity,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Angiogenesis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Blood_brain_barrier,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Neurogenesis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Neuronal_death,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Protein_processing_ER,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Ubiquitin_proteasome,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Lysosome,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Peroxisome,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
