compound,gene,binding_probability
Scutellarein,E2F1,0.4539795219898224
Daidzein,DPEP1,0.4539760649204254
Baicalein,CXCL10,0.4539754390716553
Kaempferol,SMARCB1,0.4539712965488434
Luteolin,PTBP1,0.4539695978164673
Galangin,EGR1,0.4539644718170166
Scutellarein,MAPK14,0.4539630115032196
Daidzein,ICA1,0.4539620280265808
Quercetin,CXCL10,0.45396149158477783
Apigenin,DYRK1A,0.45394304394721985
Chrysin,SAT1,0.453940749168396
Kaempferol,ATF3,0.45393940806388855
Scutellarein,PRKD1,0.4539376497268677
Baicalein,PTGS2,0.45392248034477234
Kaempferol,WWTR1,0.45392143726348877
Daidzein,SNCA,0.4539168179035187
Galangin,TNFAIP3,0.45391637086868286
Daidzein,ERN1,0.4539095163345337
Baicalein,MAP3K14,0.4539089500904083
Quercetin,PTGS2,0.4539085328578949
Galangin,E2F1,0.4539084732532501
Daidzein,MCU,0.45390042662620544
Kaempferol,LPCAT3,0.45389845967292786
Quercetin,MAP3K14,0.4538950026035309
Galangin,MAPK14,0.4538920521736145
Baicalein,HMOX1,0.45388901233673096
Daidzein,HERPUD1,0.45388686656951904
Genistein,DYRK1A,0.45388057827949524
Kaempferol,WNT5A,0.45388007164001465
Chrysin,COX7A1,0.453875869512558
Fisetin,LCN2,0.45387572050094604
Quercetin,HMOX1,0.4538750648498535
Luteolin,DPEP1,0.45387428998947144
Baicalein,IL1B,0.4538726210594177
Kaempferol,BRD7,0.45386937260627747
Scutellarein,KDM6B,0.45386770367622375
Galangin,PRKD1,0.4538666605949402
Luteolin,ICA1,0.4538642168045044
Scutellarein,NLRP3,0.45386219024658203
Baicalein,IFNG,0.45386117696762085
Quercetin,IL1B,0.4538586735725403
Quercetin,IFNG,0.45384716987609863
Fisetin,NR1D1,0.4538370668888092
Fisetin,HIF1A,0.4538365602493286
Scutellarein,FOSL1,0.4538358449935913
Baicalein,S100A8,0.45382872223854065
Fisetin,IRF1,0.453822523355484
Baicalein,MAPK1,0.45382001996040344
Luteolin,SNCA,0.4538189768791199
Daidzein,ACVR1B,0.453818678855896
Daidzein,PADI4,0.4538186490535736
Quercetin,S100A8,0.45381471514701843
Scutellarein,NOX4,0.45381441712379456
Baicalein,YAP1,0.4538114368915558
Kaempferol,EPHA4,0.45381054282188416
Baicalein,ALOX15,0.45380932092666626
Quercetin,MAPK1,0.4538060128688812
Luteolin,MCU,0.4538026750087738
Quercetin,YAP1,0.45379748940467834
Galangin,KDM6B,0.4537966847419739
Quercetin,ALOX15,0.45379531383514404
Galangin,NLRP3,0.45379120111465454
Luteolin,ERN1,0.4537898302078247
Baicalein,TXNIP,0.45378953218460083
Luteolin,HERPUD1,0.45378902554512024
Baicalein,TNFAIP1,0.4537888467311859
Baicalein,HMGB1,0.45378512144088745
Scutellarein,IRF7,0.45378413796424866
Baicalein,KEAP1,0.4537815749645233
Baicalein,TFRC,0.4537805914878845
Baicalein,FBXO31,0.45377862453460693
