gene,embedding_norm,degree,bio_prior,hub_score,rank
FOXO1,1.0960934,16,0.3,0.5843536378474361,209
SETD7,0.7597041,44,0.5,0.5842606736564717,210
CCNE1,1.1206827,12,0.3,0.5835327417629773,211
MMP12,1.0618722,22,0.3,0.5830893542329572,212
BLM,1.1267564,11,0.3,0.5828632927080487,213
CHEK1,1.1185019,12,0.3,0.582799753643852,214
SOCS2,0.749874,44,0.5,0.5809567583942494,215
CTSB,0.7540037,42,0.5,0.5808050735923298,216
ERN1,0.75636274,41,0.5,0.5808010446317475,217
LCN2,0.7471268,45,0.5,0.5807777940506771,218
MCU,0.7569958,40,0.5,0.5801976789414004,219
CHAC1,1.0768657,17,0.3,0.5798269971545732,220
GOT1,1.0946289,14,0.3,0.5796224566135256,221
MMP10,1.0654349,19,0.3,0.5795533904386241,222
LGMN,0.75374067,40,0.5,0.5791036356865481,223
SLC1A5,0.7488794,42,0.5,0.5790827675792225,224
PPP2R2B,0.7547868,39,0.5,0.5786189359692346,225
LPCAT3,0.7521338,39,0.5,0.5777272504833948,226
BCL6,0.7532124,38,0.5,0.5772323441990661,227
SMARCB1,0.75483835,37,0.5,0.5768991039071444,228
NR1D1,0.7509883,38,0.5,0.5764848125466155,229
NOX4,0.75284517,37,0.5,0.5762291775021914,230
KDM6B,0.7541778,35,0.5,0.57484595354906,231
CDK2,1.0849824,13,0.3,0.5740436142461347,232
FOSL1,0.75183856,34,0.5,0.5731056605562304,233
ICA1,0.7554616,32,0.5,0.5723306012474172,234
ACVR1B,0.7553575,32,0.5,0.572295613320934,235
DPEP1,0.75688356,31,0.5,0.5717663513198155,236
EPHA2,0.750063,33,0.5,0.5715271626756845,237
SNCA,0.75526434,30,0.5,0.5701468812249892,238
BRD7,0.756481,28,0.5,0.568297126988504,239
COX7A1,0.75772727,26,0.5,0.5662958602638937,240
COL3A1,1.0856699,10,0.3,0.5661071390720249,241
TNFAIP1,0.7534039,27,0.5,0.5660744407864193,242
HERPUD1,0.7565259,26,0.5,0.5658920685978628,243
PDE4B,0.7561142,26,0.5,0.5657537262173391,244
MDM2,1.0111617,21,0.3,0.5645399348067216,245
SPATA2,0.75608695,25,0.5,0.5644663755389796,246
PADI4,0.7550171,25,0.5,0.5641068105193721,247
PRKD1,0.75473326,25,0.5,0.564011413285409,248
FBXO31,0.75503844,24,0.5,0.5627856843318177,249
PTBP1,0.7633607,21,0.5,0.5612534109877518,250
ALOX12,1.0404052,11,0.3,0.5538404202600812,251
EPHA4,0.7521627,14,0.5,0.5445187349948732,252
DYRK1A,0.7619941,12,0.5,0.5429766256588513,253
CAVIN1,0.7761115,8,0.5,0.5352675842266545,254
ADIPOQ,0.89967316,20,0.3,0.5254928543143023,255
CRYAB,0.8993455,8,0.3,0.4966868518810734,256
MMP1,0.8891874,8,0.3,0.49327266802601666,257
MRE11,0.88897514,8,0.3,0.4932013212662205,258
FTL,0.89008147,0,0.3,0.41915860295295715,259
H2AX,0.8889809,0,0.3,0.4187886965274811,260
CXCL8,0.8888981,0,0.3,0.41876086115837097,261
