,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Quercetin,-0.060402423,0.48886758,0.3778287,0.19102797,-0.12637278,-0.17933483,-0.5170501,0.3694743,-0.29098052,0.33231586,0.32507586,0.35030413,0.22422108,0.68284637,-0.013866425,0.07587963
Naringenin,0.19440122,-0.18020158,-0.107655585,-0.12179561,-0.049611002,-0.45952475,-0.44491577,0.28535792,0.20392776,0.12238618,0.47527868,-0.00039095432,0.4612106,0.038484335,-0.57821316,0.12869054
Eucalyptol,0.20861928,0.12131026,0.025950618,-0.046563357,0.50249267,-0.10873744,-0.017429382,0.17691024,0.06160527,0.024010822,0.2765402,-0.1576941,0.3676964,0.33733538,-0.076382995,0.26082185
Borneol,0.17706302,0.15713829,0.04033483,-0.033997685,0.5238646,-0.09340523,-0.034898132,0.17679922,0.05422947,0.016323507,0.24608026,-0.15793122,0.35601065,0.36511344,-0.058433503,0.23746917
Baicalein,-0.07367569,0.50436217,0.34217736,0.170003,-0.07244387,-0.15444392,-0.54555887,0.35521287,-0.2818618,0.30947882,0.28091264,0.32175592,0.21914507,0.679716,-0.022705436,0.03484992
Wogonin,0.17800732,0.3032737,0.077145495,-0.06473237,-0.18611786,-0.19520186,-0.5426136,0.31165168,-0.19627717,0.43087858,0.44564128,0.22682263,0.30552438,0.44456053,-0.20495534,0.11407347
Luteolin,-0.12847835,0.5333452,0.412052,0.23982248,-0.08983287,-0.17729598,-0.55898,0.37354675,-0.3002067,0.28867102,0.26618168,0.36396283,0.20536344,0.72356707,0.00048422813,0.024726972
Kaempferol,-0.09687629,0.5208335,0.4038429,0.21443388,-0.09690738,-0.16501418,-0.5218403,0.37230158,-0.29952967,0.31024817,0.29117137,0.35432893,0.21203169,0.71262646,0.011500269,0.05549349
Hesperetin,0.30497307,-0.28165615,-0.22713743,-0.2268225,-0.11494002,-0.48972288,-0.4527286,0.26857227,0.24839257,0.1790382,0.5561094,-0.039593454,0.50296235,-0.07436988,-0.67503583,0.16262124
Resveratrol,0.1351467,0.10371513,0.057354115,-0.040294707,0.33657598,-0.13863386,-0.20830631,0.22569233,-0.00989733,0.06665093,0.28503495,-0.02367527,0.3501427,0.36109513,-0.16747306,0.1471884
Curcumin,0.4308314,-0.15295084,-0.24535382,-0.32596743,0.17809647,-0.1757638,-0.21780121,0.18290883,0.062726624,0.21999794,0.4897104,-0.104327604,0.4486739,0.09177464,-0.39082325,0.22857982
Ferulic acid,0.34294528,-0.06639917,-0.16407223,-0.23571768,0.24350286,-0.16387653,-0.2195189,0.18761198,0.042933878,0.16622405,0.4170157,-0.090142384,0.41883254,0.17427143,-0.31989792,0.19890094
Pinocembrin,0.2147542,-0.18649136,-0.12763333,-0.14352822,-0.038049817,-0.446439,-0.43209186,0.2778607,0.20541756,0.12905957,0.479425,-0.014771741,0.46512887,0.02902238,-0.5760999,0.13579312
Chrysin,-0.16019374,0.56989306,0.41815445,0.24320287,-0.019912064,-0.14152169,-0.5495285,0.36619604,-0.29761124,0.2565764,0.21498087,0.339654,0.19375472,0.74787754,0.033381253,0.000595063
